comment_id,llm_label_pass1,confidence,text,label_pass1,label_pass2,conf_pass2
UgyBBgDYA5psSwIy_2F4AaABAg,Negatif,0.88,"Ijazah asli karena ada legalisir. Yg primer untuk apa lagi, jika pihak terkait sudah menjelaskan asli",Negatif,Negatif,0.9
UgynOp7UTvf2LvnG4V54AaABAg,Negatif,0.88,Benar Bu kami dukung ibu rektor,Negatif,Netral,0.6
Ugw93BKN_2H1SPRQx2J4AaABAg,Negatif,0.85,TIDAK ADA KEBEBASAN ABSOLUTE!!! DI NEGARA MANAPUN HANYA ADA KEBEBASAN BERTANGGUNG JAWAB!!!  GILAK SAMPAI DI BILANG ANAK PKI ANAK CHINA ANTEK CHINA SAMPAI KORUPSI dan IJAZAH PALSU! Nggak kuad saya !!! Hebat pak Jokowi!,Negatif,Negatif,0.78
Ugw9cMQDkGSi3j8-CzB4AaABAg,Negatif,0.85,"KITA SEMUA SDH DI BODOH2 I OLEH ROY SURYO, KNAPA KITA HARUS TURUTI SEMUA KEMAUANNYA, KLO UGM/POLISII SDH KATAKAN IJAZAH JKW ASLI MAU APA LAGI, ...KLO MENURUTI ROY CS TTG IJAZAH JKW TDK KESUDAHANNYA TIAP SAAT BERUBAH SESUAI KEHENDAKNYA CONTOH, TDK ADA WATER MAKS, TDK ADA EMBOS, BESOK LSIN LG FOTONYA BKN FOTO JKW, LAIN WAKTU BERUBAH LAGI IJAZAHNYA BARU DIBUAT DI THN 2000AN DST. TDK ADA KESUDAHANNYA... AKHIR DARI INI SEMUA TDK LAIN KECUALI DI PERSIDANGAN...",Negatif,Negatif,0.9
UgwBRvTai2shTMnbyLF4AaABAg,Negatif,0.85,Hoi. Penelitian itu harus menggunakan data yang valit (benda asli) bukan data dari foto kopy artinya data itu tidak valit. Peneliti yang menggunakan data tidak valit itu Peneliti ABAL-ABAL.,Negatif,Negatif,0.75
UgwR-KZk-8kl07UDyWZ4AaABAg,Negatif,0.85,P jokowimemang presiden yang jujur bicara apa adanya,Negatif,Netral,0.6
UgwSsPMAozMaMSJy2rZ4AaABAg,Negatif,0.85,"Ngaku peneliti tapi gak ada legal standing meneliti
Roy Suryo cuma ngaku ngaku Ahli digital Forensik gak ada sertifikasi Ahli
dr. Tifa gak ada legal standing peneliti, dr Neuro Sains gak bisa membuktikan empirisme karena dasarnya neuro sains adalah Psikologi itu Pseudo sains
Rismon, gak ada legal standing sebagai Dosen Lagi, Ijazahnya ditolak Universitas Yamaguchi",Negatif,Negatif,0.65
UgwVJIiKwRMR8-xvRMV4AaABAg,Negatif,0.85,kan ijazah nya sdh ditunjukan om hotman ko masih tanya ...,Negatif,Negatif,0.88
Ugwa8V6kLOEOHvoKuO54AaABAg,Negatif,0.85,"Sumber kegaduhan Saudara Joko Widodo nah ini bisa di tuntut pencemaran nama baik di muka umum . 

Pengacara koplak ini kebablasan bukan argumen hukum yang diungkapkan tapi kedengkian dirinya sama jokowi.

Bambang tri di hukum karena buku pertama nya menuduh Jokowi PKI terkena pasal pencemaran nama baik dan berita bohong.

Buku ke 2 tentang ijazah jokowi palsu di putus tidak dilanjutkan oleh hakim kurang barang bukti  dari tersangka. Dan itu pun tidak ada pasal pidana hanya di putus perdata.

Pengacara koplak ini banyak bohong nya, ngak kasihan klien nya bambang tri dan gus nur terjerumus karena pengacara yg salah.",Negatif,Negatif,0.82
UgwbwIMokQw5h8l8u0d4AaABAg,Negatif,0.85,Silahkan membahas RRT sampai mulutmu berbusa yg penting endingnya RRT masuk penjara,Negatif,Netral,0.6
UgwkVw8cShIIeOWaMsx4AaABAg,Negatif,0.85,"Ijasah yang asli sudah terlihat dengan jelas... 
Berartikelanjutan dan proses berikut sudah tuntasss...",Negatif,Negatif,0.92
Ugwn4AyDCKkXaeNNP-l4AaABAg,Negatif,0.85,Meneliti ijazah fotocopy an 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Negatif,Negatif,0.78
UgwqQrKsOzLWTFjjBdd4AaABAg,Negatif,0.85,HoaxHoax,Negatif,Negatif,0.7
UgwrqzbybhQQ3fvDtoh4AaABAg,Negatif,0.85,INI roisuryo belom pernah melihat ijasah JK wdd kok bilang palsu,Negatif,Negatif,0.85
UgwxF9ltpUsEUlSHu3F4AaABAg,Negatif,0.85,"Yakin kasus ini bikin bodoh rakyat.
Ga layak jadi opini publik.
Sudah pasti asli ,itu ugm udah ngomong",Negatif,Negatif,0.9
Ugx36wuftB5qH00rRS54AaABAg,Negatif,0.85,"Masih ngomong si Roy ini bahwa Gibran gak lulus, sementara sudah jelas teman seangkatan dan satu kelas Gibran bahwa dia itu lulus.

Nampak x bohongnya.",Negatif,Negatif,0.78
Ugx47CNdG4WuUPleh3t4AaABAg,Negatif,0.85,"Mau seri saksi ahli ,mau seribu profesor,tetap saja yg asli tidak bisa jadi palsu,mimpi kali😂😂",Negatif,Negatif,0.88
Ugx9caZQUPsKl4pYysJ4AaABAg,Negatif,0.85,"Sandi tdk pernah menyatakan ijazah Pak Jokowi palsu, sedangkan TIRORIS terlalu maju, langsung menyatakan ijazah Pak Jokowi palsu, sehingga hrs menerima konsekwensi dr ppernyataannya..😂",Negatif,Negatif,0.78
UgxHSBMMFtDQla8Bend4AaABAg,Negatif,0.85,"Lidah manusia lebih bahaya dari lidah binatang, sudah ditunjukkan yang asli masih saja berkelit, 😮",Negatif,Negatif,0.85
UgxNaSxoH5QV6BkDPF14AaABAg,Negatif,0.85,"Saya rakyat kecil dgn logika serta akal sehat saya...
Pak Jokowi 3X menjabat
( Walikota, Gubernur dan Presiden RI )...
Arti nya semua dokumen legalitas pak Jokowi sudah di validasi terlebih dahulu,
pada saat mencalonkan...
Apalagi pada saat debat Gubernur atau debat Cawapres,
Kan moment itu yang paling pas buat bahas ijazah asli atau palsu nya pak Jokowi...
Haddeeuuuhhhh
## ( ini ada yang ambisi untuk 2029 dgn cara2 Tidak jelas )..
Untuk apa setelah selesai menjabat dibahas ijazah asli atau palsu.....
Memang nya ada efek nya sama ekonomi rakyat indonesia.....???

## fokus dukung Undang2 perampasan aset dan
Perbaikan ekonomi bangsa indonesia
** Salam akal sehat, Bravo NKRI 😇😇😇💪💪💪🙏🙏🙏",Negatif,Negatif,0.8
UgxQfAXdM4c79BVR1xp4AaABAg,Negatif,0.85,"Aku Menilai ibu Rektor UGM, wakil Rektor dan dekan UGM mereka bicara Benar dan Jujur👍",Negatif,Netral,0.55
Ugxpek9ECO904HIOon94AaABAg,Negatif,0.85,Ini..... jawaban yang tepat dari sebuah lembaga pendidikan yang kredibel di Indonesia yaitu UGM dimana perguruan tinggi negeri ini yang mengeluarkan ijazahnya Bapak Jokowi.....clear.,Negatif,Negatif,0.82
UgxsZkVRxxVAkrlVVJl4AaABAg,Negatif,0.85,"Sebetulnya permasalahan ijazah sudah selesai karena:
1. Sudah ada yang ditetapkan tersangka
2. Ada buku Jokowi's white paper
Jadi sudah selesai, kenapa stasiun TV swasta masih mengadakan acara seperti ini yang bisa membuat terpecah belah?",Negatif,Negatif,0.82
UgxuKsq8MXLKhReofnJ4AaABAg,Negatif,0.85,"Hidup jokowi.
Semoga pqk Jokowi sehat selalu dan panjang umur 
Hingga 150 tahun biar nanti jadi saksi Indonesia maju.🎉🎉🎉🎉",Negatif,Netral,0.85
UgxyFNFzJEQrC1xCJGN4AaABAg,Negatif,0.85,"Alhamdulillah, Roy Suryo, Rismon S, dr tifa, Rizal Fadilah dkk sdh berstatus tersangka klo vonis nya seumur hidup maka kami sangat bangga dan sebangga bangganya",Negatif,Netral,0.55
Ugy0fhvk6eU03_svrz54AaABAg,Negatif,0.85,"Menyimak wawancara ini, dah dijelaskan bhw jokowi mulai masuk UGM hingga wisuda. Dan data dah diserahkan pd penyidik. Dan dlm persidangannya ijasah dah ditunjukkan. Apkakah masih ada bantahan? 😂ambyar. Segera ketuk palu p hakim.",Negatif,Negatif,0.85
UgyHtgQLCW5YWdL49rl4AaABAg,Negatif,0.85,"ketika UGM SDH mengklarifikasi bahwa ijazah p Jokowi adalah alumni dan lulus s1UGM ,lalu KLO ada orang yg TDK percaya menurut logika kita mereka adalah orang 2 yg tau kebenaran tp dibutakan karena kebencian.",Negatif,Negatif,0.85
UgyJ68MeSx1MgRfPn_J4AaABAg,Negatif,0.85,"Roy Panci'cs bicara asumsi,..... faktanya, Roy Panci'cs menggiring asumsi publik dng provokasi2nya yg jauh dari kebenaran faktanya.",Negatif,Negatif,0.85
UgyJ_rPbg-jT4XJWe4R4AaABAg,Negatif,0.85,"Ijazah asli sdh ditunjukan tapi Roy Suryo msh mengangkal, ingkar janji katanya kalo ditunjukan selesai",Negatif,Negatif,0.88
UgyMmiBMhZfBA8WLIr54AaABAg,Negatif,0.85,jelas sekali orang salah takut menghadapi sidang😂. bukan jokowi yg tkt sidang. kubu roy panci takuuutttttt😂,Negatif,Negatif,0.72
UgyPnIQjB4azk-TMhl94AaABAg,Negatif,0.85,"Cuma orang bodoh yang percaya klu ijazah pak jokowi palsu,, sudah jelas2 punya temen satu angkatan,, klu palsu dari awal nya aja pas jadi wali kota klu itu palsu mana mungkin. Dia bisa lolos,, kertas ijazah nya aja udah tua kok,,",Negatif,Negatif,0.9
UgyTtrvFT4OyMRcIeKV4AaABAg,Negatif,0.85,bos tidak usa ngotot gitu bapak Jokowi tidak akan kala  sy tetap yakin bapak Jokowi yg benar  bos,Negatif,Negatif,0.8
UgyXbfsPmV8q0nrdV0l4AaABAg,Negatif,0.85,"pak jokowi itu pernah jd pengusaha,  walikota,pake logika lah,gk mungkin pula ijasah palsu.",Negatif,Negatif,0.88
UgyY57kT0C-Kd-ezQ0F4AaABAg,Negatif,0.85,"Mantap....pengacara mau keluar uang,emak2 keluar uang,semua patungan😂😂😂😂😂
Alangkah bodohnya orang yang percaya😂😂😂😂😂",Negatif,Negatif,0.82
UgyaxnI-BB-fhZFPBeB4AaABAg,Negatif,0.85,Lah... Tuduhan ijazah palsu itu langkah politik tidak berbobot tidak bermutu dan dangkal. Rakyat kecil saja secara wajar mampu mencerna dalam berfikir.,Negatif,Negatif,0.88
UgyhHZKTFYDPLNjwJut4AaABAg,Negatif,0.85,"Ngomong apa ini panci,sudah muak gua ,sudah berbulan bulan koar2 ijasah palsu tapi sdikitpun sampai sekarang gk punya bukti,kata2nya semakin lama semakin ngawur gk jelas",Negatif,Negatif,0.88
UgyjGSwlFg6sRa3vjpV4AaABAg,Negatif,0.85,Hidup bung ANDI ASWAN bela terus orang benar bp kita JOKOWIDODO,Negatif,Negatif,0.6
Ugyw2lluwQZgBvflqj54AaABAg,Negatif,0.85,"Roy suryo yang tidak paham, saya mahasiswa ugm bimbingan juga kok ke dosen pembimbing saya",Negatif,Negatif,0.78
UgzJgG1Iprj5wAerNTZ4AaABAg,Negatif,0.85,"Mereka yang koar koar palsu palsu 
Mereka yang harus membuktikan kebenaran dari ucapannya",Negatif,Negatif,0.82
UgzSrgzHypoNp3Moqi94AaABAg,Negatif,0.85,dikit lagi tiba saatnya pak Jokowi permalukan orang2 yg bilang ijazahnya palsu,Negatif,Negatif,0.82
UgzTKiYYKWcsRHjYpBV4AaABAg,Negatif,0.85,Orang Gila yg mengatakan ijazah pak Jokowi palsu .otak nya Roy Rismon .tipa yg palsu,Negatif,Negatif,0.85
Ugz_KejKK_7sQRB4gE54AaABAg,Negatif,0.85,Org2 yg blg ijazahpa Jokowi palsu itu memang benar2 org gila,Negatif,Negatif,0.85
UgzejyIOjoxpmkOZuAJ4AaABAg,Negatif,0.85,"Maksudnya kasus yg dihentikan itu adlh lap Jokowi  Pencemaran nama baik, Penghasutan dan manipulasi data Electronic krn tdk membuktikan Ijazah Jokowi Palsu👈👍👍👍",Negatif,Negatif,0.82
UgziuGkca1J5JP1kjep4AaABAg,Negatif,0.85,Gogon dan andi aswan harus segera dipenjarakan yg sangat voksl membela ijazah palsu.,Negatif,Positif,0.72
UgzkiEEPVgau-tKocH94AaABAg,Negatif,0.85,"Banyak pembenci bpk Jokowi karena merasa mempunyai derajat yg lebih tinggi. 
Mereka tidak habis pikir dan tidak bisa terima... mengapa Jokowi bisa membawa naik bangsa indo ke level lebih tinggi ?
Mengapa bukan mereka yg melakukan / mendapatkan kehormatan itu ? Mengapa Jokowi yg jadi pahlawan dan dicintai mayoritas anak bangsa ?
Mengapa....????

Mereka lupa :
- mereka tdk punya akar kerendahan hati,
- mereka tidak punya semangat kerja keras yg disertai kejujuran dan ketulusan,
- mereka lebih suka mengambil/menerima daripada memberi.

Mayoritas rakyat indo mempunyai mata hati nurani, menyimak dan melihat secara terang benderang :

Bpk Jokowi adalah Berlian !
Sementara mereka adalah karat besi yg tak berguna

Salam jujur dan tetap berjuang bpk Joko Widodo 🙏",Negatif,Netral,0.6
UgzmfvET6NRBDgvxeGd4AaABAg,Negatif,0.85,Tandus keliatan tambah parah ijazah udah nyata ASLI.,Negatif,Negatif,0.85
Ugzodv4j85Y1EbCJIeZ4AaABAg,Negatif,0.85,Yang nuduh ijazah palsu malah ijazahnya dia sendiri yg palsu ternyata 😂 Simon namanya 😂,Negatif,Negatif,0.8
UgwGcbK4000FbLRUbU94AaABAg,Negatif,0.82,"Ini kelihatan si roy membenci p.jokowi iri atas prestasi p.jokowi ,ijasah palsu hanya jalan masuk mereka",Negatif,Negatif,0.8
UgwlTpP07RP73i6xxN94AaABAg,Negatif,0.82,"""lebih baik gua goreng polemik ijazah palsu gua  daripada kecium kasus korupsi gua""  😂😂😂😂",Negatif,Negatif,0.78
UgwvdzFFs19WJyt-Ygd4AaABAg,Negatif,0.82,Betul judulnya.. Jika ada org yg mengatakan ijazah kita palsu.. Perlihatkan kpd publik.. ORANG WARAS BUKANNYA MEMPERLIHATKAN IJAZAH JIUSTRU MERASA TERHINA DAN MARAH,Negatif,Positif,0.65
UgxF_tJRNm-yoyUeAuZ4AaABAg,Negatif,0.82,Disini saya yakin pak  yokowi  ijazah pasti  asli yang  sering membuat  berita bohong dan merusak nama orang harus tanggung jawab kalau buktinya bohong harus di penjahah lima tahun.,Negatif,Negatif,0.85
UgxKfIVEJyT7VN7MrVl4AaABAg,Negatif,0.82,Kasus ijasah sampai kiamat tdk akan muncul krn sudah banyak dipersidangan mulai dari bambang Tri dan gusnur dll..,Negatif,Negatif,0.78
UgxiKic3dRnFRxBEetN4AaABAg,Negatif,0.82,"Dari mana dapat kategori palsu, mereka menilainya dari photo copy, parameter pembanding nya dari mana. Aahhhh Aya Aya wae, ibarat korban jadi tersangka sekarang lagi marak di mana mana, orang kemalingan yang kemalingan jadi tersangka 🤣🤣🤣🤣",Negatif,Negatif,0.82
UgxvKllBXu1OKU4zquN4AaABAg,Negatif,0.82,"Katanya yakin ijazahnya palsu , tapi cari perlindungan sana sini 😂😂😂😂",Negatif,Negatif,0.78
UgxxZNSpceULqyY3brl4AaABAg,Negatif,0.82,"Tiap tampil di tv.. knp muka roy suryo tampak selalu tambah tua, kuyu, auranya gelap, walopun berusaha semangat tp sprtnya ada kputusasaan di alam bawahsadarnya,, smoga kebencianya tdk pernah dia bwa sampai keliang lahat, dan beliau sempat bertobat atas smua fitnahanya dan smua kt2 buruknya kepd org2 yg sdh dia sakiti..",Negatif,Netral,0.55
Ugz74TwYv4QCXv-HYRB4AaABAg,Negatif,0.82,"ILMUWAN acuan KELEDUNG2 : 1 DOKTER tdk ADA kerja/praktek, 1 pakar TELEMATIKA tdk TERSERTIFIKASI yang BOLAK-BALIK salah ANALISA dan 1 PAKAR IT lulusan JEPANG (katanya) yang ANALISA data ANALOG pakai ALAT DIGITAL. LALU dibumbui OLEH keledung2nya DENGAN bumbu2 DATA PALSU lainnya. 🫢😂😂",Negatif,Negatif,0.78
Ugznmf8MPFDePaLTYG54AaABAg,Negatif,0.82,"Mantan peneliti panci kok meneliti ijazah potocopy yo hasilnya 99,9% palsu",Negatif,Negatif,0.8
Ugw02jb3cgkr1bMzRJl4AaABAg,Negatif,0.8,siap siap aja tuh roy panci masuk bui enak di jeriji besi makan gratis dan kkn ok tunggu bukti nya peneliti asal abal rakyat seneng org org bikin gaduh di jelaskan penjara,Negatif,Negatif,0.75
Ugw0i5FRSyr4MTsAgaR4AaABAg,Negatif,0.8,Pak hakim Rs dkk  khususnya  Rs berikan hukum berlapis  dan langsung ditahan jangan biarkan bergentayangan karena orang seperti Rs dkk  munafik  dan mereka berbahaya terhadap ketenangan rakyat.,Negatif,Netral,0.6
Ugw24rsCdxrHfWVp29h4AaABAg,Negatif,0.8,"Sampai kiamat pun ga bakalan kelar kasus ini,😂
Karena mereka CS TF RS ga bakal menerima ijasah nya pa Jokowi  asline😂😂",Negatif,Negatif,0.82
Ugw2_r6HU9f3xirfVwZ4AaABAg,Negatif,0.8,"Tompel ini sama saja dengan roipanci panci yg mengatakan izazah Jokowi palsu,tapi dia tidak bisa menunjukan yg palsu ,hanya editan aja yg dia punya. Rakyat indonesia sekarang sudah tahu persis bahwa tompel cs ini sudah bener2 goblogggg beneran.",Negatif,Negatif,0.82
Ugw2c3hgSOMIyYjBNc14AaABAg,Negatif,0.8,"Dari awal jg sdh di bilang suryo cs memang cari2  masalah
Lagian baru kali ini ada orang mempermasalahkan ijasah
Dan kenapa harus jokowi yg di permasalahkan sampai berhenti menjabat",Negatif,Negatif,0.8
Ugw2nVp7xh5_zBsWMHZ4AaABAg,Negatif,0.8,"Dr awal dikatakan ditunjukan pun tdk akn berakhir. Emang itu proyek mereka ko'. Klu ini berakhir, berarti mata pencaharian mereka tertutup dong",Negatif,Negatif,0.6
Ugw4GedK0owgdo6_vp14AaABAg,Negatif,0.8,iya kan sy sdh yakin ditunjukkan pun mereka gk akan percaya krn mmg mereka itu gerombolan org  gila semua..,Negatif,Negatif,0.8
Ugw4SIWNLg5XbKPJPvB4AaABAg,Negatif,0.8,"Roy udah keliatan mau mengelak dari persidangan dgn segala alasan,Ahirnya memble juga nyali Roy kemaren""nantang di sidangkan bahkan tifa mau merasakan dingin nya sel bui,itu cuma bualan hanya untuk menutupi ketakutannya,tinggal ph roti aja yg harus berjuang untuk meringankan jerat hukumnya roti,kita pantengin aja sambil ngopi.",Negatif,Negatif,0.7
Ugw4lP-BEOxV-H6ZlI94AaABAg,Negatif,0.8,Bener sdh di tunjukan ttp ga percaya.....jeblosin org2 bikin gaduh negara,Negatif,Negatif,0.82
Ugw5UlCUwO10FisW6854AaABAg,Negatif,0.8,"saya setuju dengan pak Jokowi nggak nunjukin ijasah emang mereka"" siapa kecuali klu lapor  dan di tanya penyidik tentang keaslian ijasahnya baru tunjukin orang tak punya hak untuk paksa liat dokumen pribadi orang lain klu tau orang lain pakai arsip ilegal tinggal lapor",Negatif,Negatif,0.8
Ugw6haicCqaJA9OyM_h4AaABAg,Negatif,0.8,Harun jauh sekali dari pemikiran hukum dari para Hakim Mahkamah 😂😂😂😂,Negatif,Netral,0.6
Ugw7MqGiwownR5OIe1p4AaABAg,Negatif,0.8,Akhirnya tidak ada bukti. Akhirnya karang mengarang.  Akhirnya divtolal,Negatif,Negatif,0.8
Ugw9_UxHdBOruI7c9ap4AaABAg,Negatif,0.8,"MEREKA BUKAN CARI KEBENARAN.... TAPI EMANG LAGI CARI MASALAH, DI PERLIHATKAN SEPERTI APAPUN KLO SUDAH DASARNYA KEBENCIAN GAK AKAN PERCAYA, NNTI DI PENGADILAN MEMUTUSKAN ASLI, MEREKA PUN GAK AKAN PERCAYA",Negatif,Negatif,0.82
UgwA8WEFAaEUUVDIzLd4AaABAg,Negatif,0.8,"Wah Roy Suryo Cs Dan  kelompoknya ini ternyata memang  tidak waras semua ya maklum cari rezeki termasuk kuasa hukumnya ya apa maunya masih cari 2  masalah untuk apa ijazah dunia  mengakui p Jokowi Presiden terbaik.bauknya itu di stop saja aneh ,kepentingan umum siapa jangan mengatasnamakan rakyat.rakyat yg mana.dasar ya stres ya sak uni2ne",Negatif,Negatif,0.7
UgwAuzmNMU4ltlLiEcV4AaABAg,Negatif,0.8,"Kmrn sdh yakin 99,9% ijzah palsu tpi koq ga berani ke persidangan, kalau yakin 99,9% artinya pasti menang klau dipersidangan, jgn2 ga yakin menang mkax ksna kmri cri jln kluar😂😂😂",Negatif,Negatif,0.82
UgwBwp6vxWFswXQV_pl4AaABAg,Negatif,0.8,"Dosen mana Rismon? 
Dia sudah di pecat di mataram😂😂😂",Negatif,Netral,0.6
UgwC_BLIsDetN6ysaQx4AaABAg,Negatif,0.8,"Rakyat mana ..
Saya rakyay tdk mempernasalahkan ijasah pk jokowi .",Negatif,Negatif,0.72
UgwC_C3qvDe-l1aNLv14AaABAg,Negatif,0.8,Sehat slalu pak jokowi❤,Negatif,Netral,0.85
UgwFyOxHzhL00P-aowh4AaABAg,Negatif,0.8,Ya biar kapok roi suryo cs dihukum saya rakyat mendukung roi suryo cs dihukum biar kapok,Negatif,Netral,0.6
UgwGGQM7OG1OnmXZC3J4AaABAg,Negatif,0.8,Materi yg di ajukan ke MK masih Mentah semua 😅,Negatif,Negatif,0.68
UgwHPRnqEink4eOoDFh4AaABAg,Negatif,0.8,Roy panci tersidut. Yg menjadi topic ijasah jokowi bukan dosen pembimbing. Jadi Ingat senyumnya yg sembringah itu dulu berganti Jadi penyanggah leher 😅😅,Negatif,Negatif,0.65
UgwHQhwjT3XpiF2fl5t4AaABAg,Negatif,0.8,"roy cs harus di hukum,karna selalu menghina,memfinah.",Negatif,Netral,0.55
UgwHzINeMDcYB_ztVf54AaABAg,Negatif,0.8,"Luarbiasa nih PH Azam, ijazah aslinya sdh ditunjukin, sekarang malah nuntut harus ada ijazah pembandingnya. Entah tuntutan apalagi yg nanti bakal dipersoalkan kalau teman2 kuliahnya menunjukan ijazah pembandingnya 😅",Negatif,Negatif,0.82
UgwI1XImU-_-K9ZhQWd4AaABAg,Negatif,0.8,Lihat lah mereka sedang ditelanjangi fitnah mereka sendiri,Negatif,Negatif,0.65
UgwJZbqJBv53kye76Zp4AaABAg,Negatif,0.8,Tidak di tunjukan salah di tunjukan salah!!! Paraaaaa...,Negatif,Negatif,0.75
UgwJw-Wvtn0J5mLlo9t4AaABAg,Negatif,0.8,GOOD JOBS SELURUH TEAM PERADI RI 🇮🇩 DAN SELURUH TEAM JOKOWI SE INDONESIA 🇮🇩.👌🏻🙏🏻👍🏻💯🇮🇩,Negatif,Netral,0.7
UgwKVPy-5PpPb6IR5Zp4AaABAg,Negatif,0.8,"Kmrin2 minta di tunjukin, skrng nyari alibi lain😂😂😂, kacau2",Negatif,Negatif,0.78
UgwLLLWxF2zCGJAehOR4AaABAg,Negatif,0.8,Kelamaan nih rakyat Indonesia ga sabar liat roy cs masuk penjara 🎉,Negatif,Netral,0.6
UgwLhPCnqNTwWWVU66t4AaABAg,Negatif,0.8,"Ya kalau UGM saja mengakui bahwa pak jokowi alumni UGM, knp roy cs tidak percaya.. Mungkin ada niat bikin rusuh indonesia",Negatif,Negatif,0.82
