comment_id,llm_label,confidence
Ugza_CrscTUXd84eo3x4AaABAg,Positif,0.9
UgxmIAvH_DAQDXv94SB4AaABAg,Negatif,0.8
UgxSuZf64EGttzb5Xkd4AaABAg,Negatif,0.8
Ugxwg7IhlGqrA868uCB4AaABAg,Positif,0.85
Ugx6Z7appG-LZAFk9754AaABAg,Negatif,0.8
Ugxvyx0UQvqTs9vp1cR4AaABAg,Negatif,0.9
UgzRLW9c6eahtmEnZxJ4AaABAg,Negatif,0.85
UgyibvoV9qPnqU7fgUB4AaABAg,Negatif,0.95
UgwCrrH89wuNVsftmFd4AaABAg,Negatif,0.85
Ugwa_2_VopSGjLPYy7V4AaABAg,Negatif,0.8
Ugz6k0AdN6VjQm-q7x54AaABAg,Negatif,0.8
Ugw4GedK0owgdo6_vp14AaABAg,Negatif,0.8
UgwstZXmcaZ7HQL7uPB4AaABAg,Positif,0.95
Ugy2Mxw0Gzc9yPU641F4AaABAg,Positif,0.85
UgwWMiDdTFQFrOUsqax4AaABAg,Positif,0.85
Ugy0_x-9pHyeyKytZAd4AaABAg,Positif,0.85
UgxCXr941JGnkn7nY_J4AaABAg,Negatif,0.85
Ugy8uHABxyTzFm5uXZl4AaABAg,Positif,0.85
UgxC3Qu3bn3UEz7tRhN4AaABAg,Positif,0.85
UgxQV1IbhRqbhMbX00Z4AaABAg,Positif,0.95
Ugz-BceEvJfNWyEyG3V4AaABAg,Negatif,0.85
UgxaFWbvUjZi09hC_HJ4AaABAg,Positif,0.85
UgzNfGzwfKSpk84AeGx4AaABAg,Negatif,0.85
Ugwvy1guZElH4JUQQuN4AaABAg,Positif,0.85
Ugy86ROdXaLk0OxG_B94AaABAg,Positif,0.85
UgwbPmPX_ary22dQh9t4AaABAg,Negatif,0.8
UgwEOzFSGfqgIhOl_J14AaABAg,Positif,0.9
UgzvKV6DkfBvLYjO1Q14AaABAg,Negatif,0.9
UgwKvEOBq7BV-5UwLwB4AaABAg,Positif,0.85
UgzXsRWGcdMWZtvumBx4AaABAg,Negatif,0.85
UgyGgs6MhjidgmrjdtF4AaABAg,Negatif,0.8
UgzFV3tcnu8XzQ0eJAt4AaABAg,Positif,0.92
Ugw6DIDSJDNenEY3bP54AaABAg,Negatif,0.85
UgyFJwrlshUCtr2giRR4AaABAg,Positif,0.85
UgxvnR9j99Tm54J-gp14AaABAg,Negatif,0.8
UgyXuR3q2DeLM50G97R4AaABAg,Positif,0.9
UgweCmn5RzaA0gbE1gR4AaABAg,Negatif,0.8
UgxdulPVZyCHMWn3a054AaABAg,Positif,0.85
Ugw2fn-dkkw-7Ynmc8Z4AaABAg,Positif,0.85
UgwTllPxmb7Er6hZ4_94AaABAg,Negatif,0.8
UgyQis4Fg7S_l-DDepx4AaABAg,Positif,0.85
UgyUKgvmHHCAteL525p4AaABAg,Positif,0.85
UgyQy0c3PYGaDcwRgzx4AaABAg,Positif,0.9
Ugy_ncQN0GC1olnQj0J4AaABAg,Positif,0.85
UgyLkFoNez3HEt6bVvZ4AaABAg,Positif,0.85
Ugwf43gL-A6c8sS1ctt4AaABAg,Positif,0.85
UgwXj0HY3N9J1EhUbrl4AaABAg,Negatif,0.8
UgyNczPcNmiZm0_fb054AaABAg,Positif,0.92
UgxNcJ0n2jDrS36C8tp4AaABAg,Positif,0.85
Ugzq6g1OyjlxAjdYBUF4AaABAg,Negatif,0.85
UgyT-ZMzS6r8HeGPioJ4AaABAg,Negatif,0.8
Ugw-XCm5SJCozEsFm9J4AaABAg,Negatif,0.85
Ugxe4vKftu84gyhwlkZ4AaABAg,Negatif,0.8
UgxS7BfxbzpsrCoZabF4AaABAg,Positif,0.85
UgwpmYm_5CCtAb2nnY14AaABAg,Negatif,0.8
UgxCC0b576QQcZ8wSpZ4AaABAg,Positif,0.9
UgxVEt9w1VBAg64130x4AaABAg,Negatif,0.82
UgyTKLuyjP-Qxm8ul5Z4AaABAg,Negatif,0.85
UgyzkexNJb2LcAQ67cZ4AaABAg,Positif,0.95
UgyB7gtlbMCJBMgZdNt4AaABAg,Negatif,0.8
Ugw0emFyr793VOrSBO54AaABAg,Positif,0.85
UgzK_K38NQrdJ6_nBqN4AaABAg,Negatif,0.85
UgxtIFEhNgK4ZGMH4Md4AaABAg,Positif,0.9
UgwyIXkJbP6Ky2w01_R4AaABAg,Negatif,0.8
UgxSv-3rAXNbFVDoPOJ4AaABAg,Positif,0.85
UgwNYhm6njVpL3kBk994AaABAg,Positif,0.85
UgyVDQaUTI_uMAdCjhx4AaABAg,Positif,0.85
Ugyqn05BFwTiVxfEnxF4AaABAg,Positif,0.95
UgxoGmHoly0i0Rg1Ky94AaABAg,Positif,0.85
UgxYdNta38txpVjbSp54AaABAg,Positif,0.85
UgxtDP22UXHMqmKXzmt4AaABAg,Positif,0.85
UgxNJcvFgv7w69cPr5d4AaABAg,Negatif,0.8
Ugy5ylL5VV1YUmasO2d4AaABAg,Positif,0.9
Ugx9M1nrxHA2ZYV7Fkt4AaABAg,Positif,0.85
Ugz5RtGOAAZz0dlsfV94AaABAg,Negatif,0.85
UgwxjoTlAsPsUAe2Vd54AaABAg,Negatif,0.85
UgxLc8XUyO5IE3ZqunV4AaABAg,Negatif,0.8
UgxFGZ1Duvb2Y7-eIBl4AaABAg,Positif,0.85
Ugy4o3ekxWf7Hqc-NjF4AaABAg,Positif,0.85
UgyBmgc3OnoN4LGpMwd4AaABAg,Positif,0.85
UgyTrAGn8O-q9cEqbsd4AaABAg,Positif,0.85
Ugx1JAaZj1jrCDOAb9Z4AaABAg,Negatif,0.8
UgwcdGGU8RmyfHUkWPh4AaABAg,Positif,0.85
UgxtudPM3eeLWtmQgq54AaABAg,Negatif,0.8
UgypG_es2XnySlQ-33V4AaABAg,Negatif,0.8
UgxpdJrcEW9KKhfr-m14AaABAg,Negatif,0.8
UgwmiBKFkOlhH2xTj-J4AaABAg,Negatif,0.8
UgwBID6KzCqwqBtGUa94AaABAg,Positif,0.85
Ugwl2tPPOJ_FveJTQoN4AaABAg,Positif,0.85
UgyCllkcw28uP0oBms54AaABAg,Positif,0.85
Ugynwa3nZRh1J9jj9oR4AaABAg,Negatif,0.8
UgwHLY5QNaCFkmEwLh94AaABAg,Positif,0.92
UgzNJAXr_tMvmdfjCA14AaABAg,Positif,0.9
Ugz4PBxRLZyUejsQZDt4AaABAg,Negatif,0.8
UgzJq7zQeslZmxdi2Qt4AaABAg,Negatif,0.85
UgwAziLMKqGfaiCxJUR4AaABAg,Negatif,0.8
UgwJqEo0TL0Oh_nEtQx4AaABAg,Positif,0.85
Ugwjybz7v3WfYasdSYN4AaABAg,Positif,0.85
UgxkeLanjeJ0HrlJA3V4AaABAg,Positif,0.9
UgyeXW2kA-juKDqW5-N4AaABAg,Negatif,0.85
UgyexfeHvAm2OrlSPkN4AaABAg,Positif,0.9
UgxpXjtRykXQ9UBSSNl4AaABAg,Negatif,0.8
Ugyg-mMHdHeA3SDAg2t4AaABAg,Positif,0.85
UgwGBuELuNHZR61GruN4AaABAg,Positif,0.85
UgxPgNinc4g4nnnOtoZ4AaABAg,Negatif,0.8
UgxRg49tFcY48uAHbrV4AaABAg,Positif,0.85
UgxySaN_T8I2eaVnylJ4AaABAg,Negatif,0.8
UgxTgeVX0aM_uMMbHoN4AaABAg,Negatif,0.85
Ugy9erVcXW-q4ZGmCHF4AaABAg,Positif,0.85
Ugz4J6ztveNoDniEX1N4AaABAg,Negatif,0.8
UgyhHZKTFYDPLNjwJut4AaABAg,Negatif,0.8
Ugw6Rq0q0i6EC58lqDB4AaABAg,Negatif,0.8
UgzxbHoHoYN3MYo0YDV4AaABAg,Positif,0.9
UgwxCSZ4pb7UiPvkIP14AaABAg,Positif,0.85
Ugw3f10DF5sHpK-uEkd4AaABAg,Positif,0.85
Ugy3lD1nXvkA0oFz3T14AaABAg,Negatif,0.85
UgzYi8pADb9FRAg23tt4AaABAg,Positif,0.9
UgysznGAuXxJozmRhAB4AaABAg,Positif,0.85
UgxAdlzLiySEP7fzi6p4AaABAg,Negatif,0.8
UgwjPE4BicR4wkZC8Lx4AaABAg,Negatif,0.8
UgyAd-CkbQ0BiJERF-d4AaABAg,Negatif,0.85
UgxRLw3ss0KuivpOBYx4AaABAg,Negatif,0.85
UgwzYJ_tkKPcOy4iL_t4AaABAg,Negatif,0.8
Ugyyc6WBg42-rEx7WjV4AaABAg,Negatif,0.8
UgymkOuhiFYDzMDfhw94AaABAg,Positif,0.85
UgxgAQBpPrvGMovJiDd4AaABAg,Positif,0.85
Ugy0fiwdEx2M_TtAb_p4AaABAg,Positif,0.85
UgxeNfFaWGUW7wOYVUx4AaABAg,Negatif,0.8
Ugz-Yt8z7onxxdrZQmF4AaABAg,Negatif,0.85
UgyPL95InDqEm6G7xxt4AaABAg,Negatif,0.88
UgxF_tJRNm-yoyUeAuZ4AaABAg,Negatif,0.8
UgzAtxR_pF-qo90OgLB4AaABAg,Negatif,0.8
UgyxHnCnoqMZTuscJ2l4AaABAg,Negatif,0.8
Ugynj9Cl8jZQx2aGwIl4AaABAg,Positif,0.9
UgwLOKbGRl_dqs6IgFl4AaABAg,Positif,0.85
UgwZcY_mVARwH1cFGGp4AaABAg,Negatif,0.85
UgzYDvDnMdvIVHF_Qkt4AaABAg,Negatif,0.85
UgxjhhdXxBJvEfVNTMR4AaABAg,Negatif,0.8
UgxxGcLmfoMcp5orJGd4AaABAg,Positif,0.85
UgyyyAH-WknefDqigj54AaABAg,Negatif,0.85
UgySWEABLZxq70sJPf14AaABAg,Negatif,0.85
UgyE_GZ-F0-K6njAqgh4AaABAg,Negatif,0.8
Ugyb5Yi87a-pXdow3dt4AaABAg,Positif,0.85
UgyT8r3JeyC1pQ4ke-N4AaABAg,Negatif,0.85
UgykI-KJqe8PM1ON_tt4AaABAg,Positif,0.85
UgxHYaNkZZWgycnMBvd4AaABAg,Negatif,0.85
Ugx-5M5QS-_qDvDWMkF4AaABAg,Positif,0.85
UgwhlfiL_POUg9g4r_14AaABAg,Negatif,0.8
UgywRouR5cCY_tadB5J4AaABAg,Positif,0.85
Ugxf1tzOCSw6vdiq5354AaABAg,Positif,0.92
UgwznpN1XpmsLjZzRDB4AaABAg,Positif,0.85
UgzskOQanu6zRR8LohV4AaABAg,Negatif,0.85
Ugz2W0vs8dUSbEXn8E54AaABAg,Positif,0.9
UgxGGFk5VxAhae6l0CV4AaABAg,Positif,0.85
UgxCkNXsRcsTuTy4kN14AaABAg,Positif,0.9
UgxVMhheOS78Xxk5wC54AaABAg,Positif,0.95
Ugx_UEgdNhJGUnFK7yh4AaABAg,Positif,0.85
Ugz7pyo5l97chDCPSEJ4AaABAg,Negatif,0.8
Ugxyd_dyBbX1KyEeUdZ4AaABAg,Negatif,0.85
Ugz-0eD4FitcDPJl4j94AaABAg,Negatif,0.8
UgyQ-3ktyiTPVuXjzxR4AaABAg,Negatif,0.85
Ugw06uSgW-dEDiSXHSl4AaABAg,Negatif,0.85
Ugy8ebGdCKqoxhC8Z1d4AaABAg,Positif,0.85
Ugy0PLgncM54tr5PSGV4AaABAg,Negatif,0.85
UgyPcXHI3QcI2zeT_uR4AaABAg,Positif,0.9
UgwqyEexVvBg3CMH0H54AaABAg,Negatif,0.85
UgxqUOiT-crG2rx1hON4AaABAg,Positif,0.85
UgxXeP2sAo3DGL_Z2th4AaABAg,Positif,0.9
UgwDmd0HUqWhxq7yCfF4AaABAg,Negatif,0.9
UgyF-_f_qIY1GvH84Up4AaABAg,Positif,0.85
UgzcsOhnu4koR3Fx6tJ4AaABAg,Positif,0.9
UgyWOC7mWosOkSd56dZ4AaABAg,Negatif,0.8
Ugwdp2tJckWPxfG0uYR4AaABAg,Positif,0.85
UgzFYBUKq3FTw58W1ex4AaABAg,Negatif,0.85
UgwnGJjtMSueDTVrNLZ4AaABAg,Positif,0.85
Ugz7WaVCbNjS7Ri_E2B4AaABAg,Positif,0.9
UgxUlLMCLwWY8tH-HkN4AaABAg,Positif,0.9
UgySJWytNUPY_3BsiLB4AaABAg,Negatif,0.9
Ugwk9IfR4ZtZn3Ems3N4AaABAg,Positif,0.85
Ugy9LpUj26NgU1F6_k14AaABAg,Positif,0.85
Ugy2iGeG-wl6ZVFoeuB4AaABAg,Positif,0.95
Ugxc0qBLJLViH5LTTJR4AaABAg,Positif,0.9
UgyGtEU6KAv99yzS-9t4AaABAg,Negatif,0.85
Ugz9GxXvoPuSpd3i3Lp4AaABAg,Negatif,0.85
Ugw1ZLd3IYPr6YdEUt14AaABAg,Negatif,0.9
UgyZJxqMy2GLte6DuN94AaABAg,Negatif,0.8
Ugz3k3-JFKAAePboA454AaABAg,Negatif,0.9
UgzZUzimVMa2qpLZ7q14AaABAg,Negatif,0.85
UgwwPTJiQ93pE-B9mzh4AaABAg,Negatif,0.85
Ugy5wbci1p8ArigaWCV4AaABAg,Negatif,0.8
UgwgAyxYXSOIDtMvA_N4AaABAg,Negatif,0.8
Ugx4l6ovkIQ3d19hK5t4AaABAg,Negatif,0.8
UgzDC_xAUlcwaFTTwIx4AaABAg,Negatif,0.85
Ugw1naVadzYhRFTwL0B4AaABAg,Positif,0.85
UgwG7QVz0jhRH9thRgF4AaABAg,Negatif,0.8
UgzqR8mTDYmhTZDu4sF4AaABAg,Positif,0.9
UgxOjQb6sVtB882DloN4AaABAg,Positif,0.85
Ugzt9KrmoJCtcuSsCPF4AaABAg,Negatif,0.85
UgxEDcnAso2R4T_-w914AaABAg,Positif,0.85
UgwBbmjK5McyqTMDqrx4AaABAg,Positif,0.85
UgxK7wD52XuCYzbikkd4AaABAg,Positif,0.85
Ugz0NImKVUV3MXBJ1nV4AaABAg,Negatif,0.8
UgxN_6wrbnT4mdYUN714AaABAg,Negatif,0.8
UgxZzUzyvTtQdbZxGsh4AaABAg,Positif,0.85
UgzuOqQlwkvWfxSCgFV4AaABAg,Negatif,0.85
UgzCNRsGjPmXiVEMSlt4AaABAg,Positif,0.9
UgyZw7nQgx_cRYHC-ep4AaABAg,Positif,0.85
Ugxq3q1QMDyhI2Tgh8x4AaABAg,Positif,0.9
UgwN-yNADImeoQH7kXx4AaABAg,Negatif,0.8
UgzPOWgnn2DqcYRZMIZ4AaABAg,Negatif,0.85
UgxSOhp4tnSBYvg7Wft4AaABAg,Negatif,0.9
UgyJ_rPbg-jT4XJWe4R4AaABAg,Negatif,0.8
Ugzy_6XgptA0orpH67h4AaABAg,Negatif,0.85
UgxO78RQu96KwY6lPo14AaABAg,Negatif,0.85
Ugw-rtD9fFcaZ6nwq0h4AaABAg,Positif,0.9
Ugyyuf4YXflbhgycIFF4AaABAg,Negatif,0.85
Ugwa8V6kLOEOHvoKuO54AaABAg,Negatif,0.8
Ugz28TTp9dfjPkIsc5d4AaABAg,Negatif,0.8
Ugx0MXbMhhCzpl4Zx_l4AaABAg,Negatif,0.8
UgwCyu03l70ytOhSrJR4AaABAg,Positif,0.85
UgwthbfglXdS2SNM19B4AaABAg,Negatif,0.8
UgyjhJ2g6Qn_E023gI14AaABAg,Negatif,0.8
Ugw5BxlRhDZ2SADtb5d4AaABAg,Negatif,0.8
UgxbzriN6BjX5ahxmTx4AaABAg,Positif,0.85
UgwSImkB6E6xzfVmGo14AaABAg,Negatif,0.8
Ugyl0qEx2DWLp-eJVFZ4AaABAg,Negatif,0.8
Ugy4LD4tOkcMkiNYPaV4AaABAg,Positif,0.85
UgwtOR2bhUq55cE5bEZ4AaABAg,Positif,0.85
UgwZzdNfueY4mgys5rJ4AaABAg,Positif,0.9
Ugz1pXVgP0w-tTMkDcx4AaABAg,Negatif,0.85
Ugx0f9r7Rf_6cu81IXZ4AaABAg,Positif,0.9
UgzCsUXniMuvpHX_42V4AaABAg,Positif,0.9
UgyFZWyU7uzS4YsxSVh4AaABAg,Negatif,0.8
Ugxb_MnIho7oYPHuagJ4AaABAg,Positif,0.85
Ugx6_x2RI9MMlGvmvft4AaABAg,Negatif,0.9
UgzNRm2KntQKyNl2bzR4AaABAg,Negatif,0.85
UgyIJ5oie71p2dsnFTN4AaABAg,Negatif,0.8
Ugw8kObY5Jq9dUirpU54AaABAg,Positif,0.9
Ugw1K7wt9XRHxRvi3fB4AaABAg,Negatif,0.85
UgxpA3Ao4S6Dgu0KsGJ4AaABAg,Positif,0.9
Ugy--Y9G9aftIqlufiF4AaABAg,Negatif,0.8
UgwR8uLhxVM4DiEQkFZ4AaABAg,Negatif,0.8
UgyZzk-mW3fVC9EWT-x4AaABAg,Negatif,0.8
UgwyoB6Ap2aKbcXl0ix4AaABAg,Positif,0.85
UgxcXHQgCMWeE8FMcVV4AaABAg,Negatif,0.8
UgwbNH_XOoE2VZaAsW94AaABAg,Positif,0.85
UgxyFNFzJEQrC1xCJGN4AaABAg,Negatif,0.8
UgxHXLnzXeuW2wM00hR4AaABAg,Negatif,0.85
UgwDUFPs4-ywn_LznkV4AaABAg,Positif,0.9
UgxfLBTdiupIgsNwPUJ4AaABAg,Positif,0.9
UgwklHFhK4s4YfwmIYZ4AaABAg,Positif,0.9
UgwUG7_nHfx2yMEkMaF4AaABAg,Positif,0.85
UgwM6ccBLlR1U_jadEJ4AaABAg,Negatif,0.85
UgxxkuHtbIfJFnJw9Jd4AaABAg,Positif,0.85
UgzUfJh96zuj2Sphz254AaABAg,Positif,0.9
UgxkORAm3sFPKuWeKYF4AaABAg,Positif,0.85
UgyHi0pAT8XjsuT988d4AaABAg,Negatif,0.85
UgxlzO782_Z1QakFojN4AaABAg,Negatif,0.8
Ugyl8tGWIVI9oQ5qT0h4AaABAg,Negatif,0.8
UgyK4iBQLG262PUaOn54AaABAg,Positif,0.85
UgxQVGBWL8zaF7Yl2XJ4AaABAg,Positif,0.85
UgyHtgQLCW5YWdL49rl4AaABAg,Negatif,0.85
Ugz2PHN33FVlYrg5shV4AaABAg,Positif,0.9
UgwuMQmdfF8179MtiAF4AaABAg,Negatif,0.8
UgwRDLwoLZUAj9HCFzV4AaABAg,Positif,0.85
UgylU3B0E-Q0SO14FkB4AaABAg,Negatif,0.8
Ugxs00MH-_4rZBb9eDR4AaABAg,Positif,0.85
UgwzWy2QNB7UNN_GflR4AaABAg,Negatif,0.8
Ugy2zvIu9YL2zwMMzuh4AaABAg,Negatif,0.85
Ugy8VKmFc9mJ2TTIQzZ4AaABAg,Negatif,0.85
UgxRnrIn2lx1TRx9fbV4AaABAg,Positif,0.85
UgxvjhglDK5NQ1GWx0t4AaABAg,Negatif,0.8
Ugy9NIfZq9uPpOSm7314AaABAg,Positif,0.85
UgytSPOdI8ddN8QV27V4AaABAg,Positif,0.85
UgyAbOUJ7phGLlg05gx4AaABAg,Negatif,0.8
Ugy6EEG7ybUdjvyf4DF4AaABAg,Positif,0.9
UgwDEcMAB4scfxX6Tv14AaABAg,Negatif,0.8
UgwnBMQNn6mKgGg-mIB4AaABAg,Negatif,0.8
Ugy5gp-Tq0lvX54GJKx4AaABAg,Negatif,0.8
UgygY6fXXZuOJa5vixt4AaABAg,Negatif,0.85
Ugwi-dc7rEleKt3Wgap4AaABAg,Negatif,0.8
UgwWhQ25vJo5UoE3-tZ4AaABAg,Negatif,0.8
Ugzo5EZYhT82aNT5J794AaABAg,Positif,0.9
UgzYS84xrkygJF86Wx54AaABAg,Positif,0.9
UgxJKCyopFEXX_Eur1R4AaABAg,Negatif,0.8
UgwzthofOZDDv366wCx4AaABAg,Negatif,0.85
Ugw9sjqrSFFQmrZj5z94AaABAg,Positif,0.85
UgxXU-oXCKz9KkYbCVV4AaABAg,Positif,0.85
UgyMcqeTGTCeI4Vjvv94AaABAg,Positif,0.85
UgwAJve-9N7qSgRxQqp4AaABAg,Positif,0.85
UgwZSeHZX9vHjUw-N0l4AaABAg,Positif,0.85
UgzviCq2fZg6BI6qgvl4AaABAg,Negatif,0.85
UgwINPglf71Sz1xrocB4AaABAg,Negatif,0.8
UgxShBCaW3IvOaturqJ4AaABAg,Negatif,0.85
UgxY_BMIRW-pYvK01FB4AaABAg,Positif,0.85
UgxnZR-4B6W0AkHvpKJ4AaABAg,Positif,0.85
UgwewNwFZmFeCG9NYvN4AaABAg,Negatif,0.85
Ugyru7fqalLXHBhkseR4AaABAg,Positif,0.88
UgyTtXYAq2ZTCftvtTZ4AaABAg,Positif,0.85
Ugy1JRBXIR3ojYtp30t4AaABAg,Negatif,0.8
UgxjDsXADdQO1HGIH514AaABAg,Negatif,0.8
Ugy1w8WDnnIh8kaqsVt4AaABAg,Negatif,0.85
Ugz5ypzApUPDgw2MtpN4AaABAg,Negatif,0.8
UgxIBDfl8vf1kEp4_114AaABAg,Positif,0.85
Ugy4GFFf1LpUFMnFAwV4AaABAg,Positif,0.85
UgyMmiBMhZfBA8WLIr54AaABAg,Negatif,0.8
UgyUV_r2o4tuqd3dbcR4AaABAg,Positif,0.85
UgwOl-cfW9bCO-dzJG54AaABAg,Positif,0.85
UgwcpQ_nbpyS6v9AkR54AaABAg,Negatif,0.8
Ugxucf25VuP2lFsyZY94AaABAg,Positif,0.85
UgzYF2yDPDD_zdVrhC94AaABAg,Negatif,0.85
Ugy9k42Gktc7G_HgeA14AaABAg,Positif,0.85
Ugw9cMQDkGSi3j8-CzB4AaABAg,Negatif,0.85
Ugxlgfz3MixyTVCGn9d4AaABAg,Positif,0.85
Ugy32UjdQwzsP6ngRGF4AaABAg,Positif,0.85
Ugy2iKJNU4qctTEaPdR4AaABAg,Negatif,0.85
UgzsAhfcoRqDY0ocMrh4AaABAg,Negatif,0.9
Ugx_A7JdA9b4gBXGdYZ4AaABAg,Positif,0.85
UgylVPoWVVjy8SpBJdh4AaABAg,Positif,0.85
UgxjRWf3mvPdOSfEcwN4AaABAg,Negatif,0.85
Ugxv4OcVPHO0RHIWg7B4AaABAg,Negatif,0.85
UgyScZOmerL34mQh_z54AaABAg,Negatif,0.8
UgyW4_0klxKVH9BKf9x4AaABAg,Positif,0.85
Ugy-YQaWFaLHOA4mHk54AaABAg,Negatif,0.85
Ugxl_O_U1bdCbjJcNhl4AaABAg,Negatif,0.8
UgwWyPSxy3PcCTR0zq14AaABAg,Negatif,0.85
UgyxM0lqnAMjjsCt7u54AaABAg,Negatif,0.85
UgwqGEFkO-QytKIwx3F4AaABAg,Negatif,0.8
UgwwQpMD2kYcs5braLx4AaABAg,Negatif,0.8
Ugxx5RAGx2p41bf-AoR4AaABAg,Positif,0.85
UgwHQhwjT3XpiF2fl5t4AaABAg,Negatif,0.8
UgyQToZZ7-uLPWWLhgB4AaABAg,Negatif,0.85
UgwQWjQpwPT5bHaSZpZ4AaABAg,Negatif,0.85
UgwZOJsEO_wxV88cKyV4AaABAg,Positif,0.95
UgxOQTxMGXWxc-loPDB4AaABAg,Negatif,0.85
UgxeU6hHo1rSBs2cPLh4AaABAg,Negatif,0.8
UgzZb5v4FhS2i5Z4rfV4AaABAg,Positif,0.92
Ugyoeuoi9_2ySCrbN0F4AaABAg,Positif,0.85
UgxgNmq0_Fuz-1GhqiJ4AaABAg,Positif,0.85
UgxEUAbmzMer74w5IIp4AaABAg,Negatif,0.8
UgxzrPVOx8Sck8NpapZ4AaABAg,Negatif,0.8
UgzgL7Fr2ZTOvR2CHGd4AaABAg,Negatif,0.85
UgypclW9P2loh5zfmHJ4AaABAg,Positif,0.85
Ugyrxx8lPhjY9nSFjXp4AaABAg,Negatif,0.85
Ugx6wKiEu_nm9w-saip4AaABAg,Negatif,0.8
UgyDa_ixj5nzOEUye614AaABAg,Positif,0.9
Ugy9WAYxTTm8jGAc8kJ4AaABAg,Positif,0.85
Ugyuyma4E07G8p6PDVt4AaABAg,Negatif,0.8
