comment_id,label,annotator,confidence,notes
UgyveBw9Y9Xn4ND9c-x4AaABAg,Positif,claude-llm,0.7,sindir susah percaya UGM
Ugy8xXHMaa_yEsAjtHZ4AaABAg,Positif,claude-llm,0.9,UGM tutupi kebohongan
UgwPUk9Um25gKWuBS-h4AaABAg,Positif,claude-llm,0.7,sebut kumpulan pembohong sinetron
UgwDanU6WBCKq-POYuR4AaABAg,Negatif,claude-llm,0.6,"info profesor UGM, mendukung asli"
UgxiMYaVBSr3XvAlNQF4AaABAg,Netral,claude-llm,0.6,"bermanfaat untuk pendidikan, netral"
UgyUsmClMlkfa9gzx1J4AaABAg,Positif,claude-llm,0.75,kritik UGM tak beretika akademik
UgxSokpQAGUY8Hu23tR4AaABAg,Positif,claude-llm,0.9,tuduh UGM tak punya bukti empiris
UgzUmrQoDuy4So5j4xx4AaABAg,Positif,claude-llm,0.7,tuntut UGM tampilkan bukti
UgzCVNM2C-CQNHvvFlZ4AaABAg,Netral,claude-llm,0.5,"peribahasa kebenaran kebohongan, ambigu"
UgwilY1NhsRn4TNdbEd4AaABAg,Positif,claude-llm,0.7,sindir UGM tanggung jawab akhirat
UgwYq1_bygOd-9I0t-x4AaABAg,Positif,claude-llm,0.85,sebut mafia pemalsuan ijazah
Ugw8lTiChAHg8Ngj-694AaABAg,Netral,claude-llm,0.6,minta UGM hadir kedua pihak
Ugzh9MMWC5FVToPP6dV4AaABAg,Netral,claude-llm,0.7,doa umum tak jelas pihak
UgwWX09EZYqxO0E4bPx4AaABAg,Positif,claude-llm,0.9,tuduh pejabat ngeles melindungi seseorang
UgyuYuBEzYQSaGH3lX94AaABAg,Positif,claude-llm,0.65,sindir Kasmojo pembimbing skripsi
Ugylrke1c5cQhBvuwol4AaABAg,Positif,claude-llm,0.85,tuduh UGM narasi lindungi junjungan
Ugw5Z8t5N7zqKtc2OT94AaABAg,Positif,claude-llm,0.75,masyarakat sangsi keaslian ijazah
UgzMChQifg6wbXffX5N4AaABAg,Positif,claude-llm,0.7,ragukan nilai kelulusan
UgwHRA0LbUZc_NHJbWZ4AaABAg,Positif,claude-llm,0.7,"rakyat tak percaya, kenapa baru sekarang"
Ugwye7vGIfcJxnW4yYZ4AaABAg,Positif,claude-llm,0.8,"rakyat tak percaya, narasi saja"
UgwextMB9ee3BBlEyJV4AaABAg,Positif,claude-llm,0.8,tuduh UGM bohong sembunyi salinan
UgzLsA772wa39aSMQGJ4AaABAg,Positif,claude-llm,0.7,sindir UGM tak berani media
Ugx2j4pWLioWN3hYvFB4AaABAg,Positif,claude-llm,0.7,sindir rektor diangkat Jokowi
UgxuHf3cH1I7qnzSNWx4AaABAg,Positif,claude-llm,0.8,tuduh MK dan UGM direkayasa
UgwK5AfHoQUMfCMb6bp4AaABAg,Positif,claude-llm,0.75,sebut kolaborasi kebohongan UGM
UgzNNhbF2rzQ1_kHe-t4AaABAg,Positif,claude-llm,0.75,tuntut UGM analisa terbuka
Ugy3AEWX-z7plfttrGF4AaABAg,Netral,claude-llm,0.4,"soal atur strategi, samar"
Ugyg7jOhlkW8aKEX4_J4AaABAg,Positif,claude-llm,0.85,"pertanyakan transkrip, kuatkan tuduhan"
Ugw83iK1iYA-GZ67_hV4AaABAg,Positif,claude-llm,0.75,tuduh bohong sekelas universitas
UgwNtRoJzYRdd4jBYeZ4AaABAg,Positif,claude-llm,0.72,dukung Roy debat terbuka
Ugwj7W5VI8EO5PBjynF4AaABAg,Positif,claude-llm,0.7,ingin tahu duduk soal ijazah palsu
UgzA36OAFLCQhYxMIhd4AaABAg,Positif,claude-llm,0.7,sindir ijazah jokowi nyumpet
UgwS2NnC0RXqjzA7_-J4AaABAg,Netral,claude-llm,0.5,"ketawain saja, tak jelas"
UgxrLXj62lfNKc9bW8B4AaABAg,Positif,claude-llm,0.85,"rektorat tak berani, tak bisa dipercaya"
UgxQBbVc4-4eY8UvAqB4AaABAg,Positif,claude-llm,0.7,ragukan klaim dosen pembimbing semester V
UgzEzdpJJpt_uw1WyNx4AaABAg,Positif,claude-llm,0.9,sebut UGM sarang kebohongan
Ugw0EclrpWMCjShOZ-N4AaABAg,Negatif,claude-llm,0.85,bela Jokowi difitnah pendengki
Ugwm0Sqo3_HPO0xbw1R4AaABAg,Positif,claude-llm,0.85,"tuduh dokumen palsu, font anakronis"
UgxxGcLmfoMcp5orJGd4AaABAg,Positif,claude-llm,0.85,ragukan skripsi Jokowi tak ada
UgzPf6r6B7NiY2co-rh4AaABAg,Netral,claude-llm,0.45,muak tak jelas pihak
Ugyhweb6DWxYYuhQJRp4AaABAg,Negatif,claude-llm,0.6,penuntut iri berburu uang
UgxoTZoGNU30A6unvUJ4AaABAg,Positif,claude-llm,0.75,sindir Jokowi rajin berbohong
UgxkvalXbCwNv8HoxMt4AaABAg,Negatif,claude-llm,0.7,"puji berani jujur, bela UGM"
UgwbY7RklJ0nRTTf-f14AaABAg,Positif,claude-llm,0.6,ramal UGM dituntut ke pengadilan
UgxCKSPhaGXHHcW8rt14AaABAg,Positif,claude-llm,0.55,"bohong tak kenal pangkat, sindir jkw"
Ugwk-wKqzALN8E91CX14AaABAg,Positif,claude-llm,0.8,UGM bikin makin curiga
UgxmsyKowM3aBT-viFl4AaABAg,Positif,claude-llm,0.8,"tak ditunjukkan, yakin palsu"
UgxNmM5-wGSCdSHBxFR4AaABAg,Positif,claude-llm,0.7,"rektor tak berani, palsu palsu"
UgwOIh1hBZGICk4arBN4AaABAg,Netral,claude-llm,0.5,curiga diskusi diatur
UgxQoMt0FjU_JL_kJNR4AaABAg,Netral,claude-llm,0.6,saran pewawancara independen
UgyqHDAA_8OVFbQWZHF4AaABAg,Positif,claude-llm,0.7,UGM kebohongan akademis tanpa bukti
UgwRH9gEqxkPmsd94Fl4AaABAg,Positif,claude-llm,0.85,tuntut bukti data bukan narasi
UgyxSnUaclVskvHG1_94AaABAg,Netral,claude-llm,0.55,"renungan jujur umum, sikap kabur"
UgzDTLSCxK6ICpGbxG54AaABAg,Positif,claude-llm,0.7,UGM bicara tanpa data
UgwVXCImLQx099PMe3Z4AaABAg,Positif,claude-llm,0.85,"tuntut buktikan, boikot UGM"
UgwH1TbMR-PNge6zNpp4AaABAg,Positif,claude-llm,0.9,yakin kepalsuan terang benderang
UgywjYUIx3v_7oQumE54AaABAg,Netral,claude-llm,0.5,"keluh ruwetnya kasus, doa"
UgxzLbDm0iDDFiF6vRd4AaABAg,Positif,claude-llm,0.7,rakyat tidak percaya Jokowi
Ugw54UJrM89cnu5LTMR4AaABAg,Positif,claude-llm,0.55,ejek pembela terus berbohong
UgxkyfwJoJKf7Xm-NAd4AaABAg,Positif,claude-llm,0.6,minta UGM temui RRT bahas ijazah
Ugz8-osVWrOLjKUo1hl4AaABAg,Positif,claude-llm,0.8,"dukung persidangan, sudah terbuka"
UgxIcLOKd58AvI13_ZJ4AaABAg,Positif,claude-llm,0.9,"klaim UGM bias, tuntut bukti otentik"
Ugy5eANGYe55yrwy_RV4AaABAg,Positif,claude-llm,0.75,UGM cari pembenaran
UgwxCSZ4pb7UiPvkIP14AaABAg,Positif,claude-llm,0.85,curiga data direkayasa UGM
Ugz4KTTf5VfwW5-XaXd4AaABAg,Positif,claude-llm,0.8,doakan azab pembohong publik
UgytXNZi1DIRGJ8xwZp4AaABAg,Positif,claude-llm,0.8,UGM dukung pemalsuan ijazah
UgzZodtFRSqNiFE4Lu94AaABAg,Netral,claude-llm,0.45,ambigu kasih banget orang ini
Ugxtc_wMbDyadgeAPRZ4AaABAg,Netral,claude-llm,0.65,"OOT, alihkan ke DPR"
Ugzg0ZhwC3SnSEdC_514AaABAg,Positif,claude-llm,0.7,ejek UGM kampus Mulyono
UgxYXSj5HgecUZafoYd4AaABAg,Positif,claude-llm,0.85,larang masuk UGM diajari berbohong
Ugy_k4Xa0JFHyTPuvH54AaABAg,Positif,claude-llm,0.7,UGM minta aslinya ke Jokowi
UgwsZkLFQ7xNE9OvaOx4AaABAg,Netral,claude-llm,0.5,"kebenaran cari jalan, ambigu"
Ugwf3zd7IuhkJkVnhSl4AaABAg,Positif,claude-llm,0.8,tuding dibayar untuk membela
UgzKk7xFtlZQRkiLeY14AaABAg,Positif,claude-llm,0.8,ancam tuntut rektor UGM
Ugy-U3dlzkvPyLkXu4B4AaABAg,Positif,claude-llm,0.6,sindir UGM nanya jawab sendiri
UgyGsadvGYHoim2Sv0V4AaABAg,Positif,claude-llm,0.8,sindir UGM menutupi
UgxiIczscVqLZ6_iZUh4AaABAg,Positif,claude-llm,0.8,sindir berkelit karena dibayar
UgyGi02APHaPmSST9it4AaABAg,Positif,claude-llm,0.85,"tuntut ijazah ditunjukkan, UGM jual marwah"
UgxxF8k-gtPvb-lUbPh4AaABAg,Positif,claude-llm,0.85,percaya data Roy Suryo dkk
UgyI7B6DFG2GrJ6JYrR4AaABAg,Positif,claude-llm,0.8,"tuduh sembunyikan kebenaran, Kasmujo tak akui"
UgytEgUUvtAzkxxyqw54AaABAg,Negatif,claude-llm,0.55,sindir yang pasti bela Jokowi
UgzyL8UWQgdmQdsIpmt4AaABAg,Positif,claude-llm,0.62,sebut narasumber UGM tegang gugup
UgzFXTzThMDh2BC0AxB4AaABAg,Positif,claude-llm,0.6,"sebut aura kebohongan, ragu kejujuran"
UgwpOIsdzFNnlhqU01V4AaABAg,Positif,claude-llm,0.8,UGM perlihatkan ijazah palsu
UgwspnhV2bPN3fbe5614AaABAg,Positif,claude-llm,0.7,Pinokio berbohong hidung panjang
UgxG7nHrgUUjJ7e6IgR4AaABAg,Positif,claude-llm,0.6,minta bukti sanggah temuan RRT
UgyT-vvWPfgNEFpm2Wx4AaABAg,Positif,claude-llm,0.82,publik makin curiga palsu
UgwCkyWEXxa8wN2xxXV4AaABAg,Positif,claude-llm,0.6,ejek UGM sarkas
UgwsKvoeybimeYOSMfl4AaABAg,Positif,claude-llm,0.78,sebut UGM bohong telat
Ugyu_LQFB7E703XtWxx4AaABAg,Positif,claude-llm,0.7,kritik UGM omon-omon drama
Ugzp1lFInShDdDv67Ml4AaABAg,Positif,claude-llm,0.85,sebut UGM salah langkah lindungi Mulyono
UgxX9qcqpTYetgaGXPh4AaABAg,Netral,claude-llm,0.55,doa umum tanpa sikap jelas
UgyrseYQZ0VSgsjcmCB4AaABAg,Positif,claude-llm,0.75,sindir Jokowi enggan unjuk ijazah
UgzYx8OBPDQRnNDtUE54AaABAg,Positif,claude-llm,0.6,doakan azab penutup kebohongan
UgzYi8pADb9FRAg23tt4AaABAg,Positif,claude-llm,0.9,semakin jelas ijazah palsu
UgwrpRRP53czUC2oX6h4AaABAg,Positif,claude-llm,0.6,kalau palsu kena semua
UgyzZyxR1QjwwuodMrt4AaABAg,Positif,claude-llm,0.65,tantang alumnus UGM adu argumen
UgzDXArcUkkrmqI6Syl4AaABAg,Positif,claude-llm,0.6,"ungkit IPK rendah, dekan omon"
UgzrKI_5GOHT5XcsBw94AaABAg,Netral,claude-llm,0.6,ajakan undang di acara TV
UgzApjAVuCJhRVBRQBZ4AaABAg,Positif,claude-llm,0.45,sindir tak bisa bohongi diri sendiri
UgyQOP0l02HBjlBa5xB4AaABAg,Positif,claude-llm,0.7,sindir bibir bohong hati jujur
UgylVPoWVVjy8SpBJdh4AaABAg,Positif,claude-llm,0.85,"yakin palsu, UGM bohong"
UgwyTH_znc-Kj9tx9mt4AaABAg,Positif,claude-llm,0.85,"tuduh kesaksian bohong, ngeri siksa"
UgyzSWcdDNm4XNJaYxp4AaABAg,Negatif,claude-llm,0.85,terima kasih penjelasan UGM
UgyvL5DmfpYYmzfdmUx4AaABAg,Positif,claude-llm,0.75,pertanyaan menyindir foto berkacamata
UgzJLaNHas-LoI0Nxhp4AaABAg,Netral,claude-llm,0.5,"tegang dari muka, ambigu"
UgxdcJEjRr8v55N3rCZ4AaABAg,Positif,claude-llm,0.85,"makin yakin palsu, dirujak Rismon"
Ugx6WQ37-BIUecGShu54AaABAg,Positif,claude-llm,0.6,"sindir nanti terbuka, dukung tuduhan"
UgwgjDtuEhwuEa9YEbN4AaABAg,Positif,claude-llm,0.5,"berani jujur hebat, condong penuduh"
UgzZNaG1KE74StPhvDl4AaABAg,Positif,claude-llm,0.8,bukti memperkuat dugaan palsu
UgyuubtFCkV_wAV_XVl4AaABAg,Positif,claude-llm,0.8,"curiga ugm, kejanggalan ijazah"
UgzrQ3jr5HT9u9Ccrtd4AaABAg,Netral,claude-llm,0.45,komentar jawaban dipersiapkan
UgyD8jbO4xqleMPGQ8d4AaABAg,Positif,claude-llm,0.9,yakin palsu ada yang ditutupi
UgzfJM6NNUXJqT5OyMR4AaABAg,Positif,claude-llm,0.7,99% komentar arah ijazah palsu
UgzW8mKtX58aUsB9q5F4AaABAg,Positif,claude-llm,0.85,"bangga Rismon Roy Tifa, malu rektor"
UgySmwaHQkS4DrBrhER4AaABAg,Negatif,claude-llm,0.6,"ejek penuduh, ancam penjara Aiman"
Ugy10J84FpZIKW33EC14AaABAg,Positif,claude-llm,0.8,"tuduh siapkan data palsu, kebohongan"
UgzoCkhnSXXx58gIzU14AaABAg,Negatif,claude-llm,0.65,sebut Roy cs ngulur waktu
Ugyf6VYHy-1UEBzQDAJ4AaABAg,Negatif,claude-llm,0.65,anak cucu penuduh menanggung malu
UgzVieM8AOuzfTThg8t4AaABAg,Netral,claude-llm,0.85,ucapan religius umum
UgxjI5U2kPSWUCOxbqh4AaABAg,Positif,claude-llm,0.65,sindir narasi sepihak tak hadir
UgyexfeHvAm2OrlSPkN4AaABAg,Positif,claude-llm,0.9,"blunder, bukti administratif disiapkan"
UgxV9c4GWgVLvC0ZCUt4AaABAg,Positif,claude-llm,0.8,yakin UGM menutupi skandal ijazah
Ugwb8Q4ES3gdMHGi-914AaABAg,Positif,claude-llm,0.8,curiga periksa sepihak janggal
Ugwr3Xq0f-uAK8rdT9R4AaABAg,Netral,claude-llm,0.5,nasihat akhlak umum
UgwC8O42GObLHNKq0cN4AaABAg,Positif,claude-llm,0.75,tuduh UGM setingan bohong
Ugy9yZM5xvZZWFVIPux4AaABAg,Positif,claude-llm,0.8,sindir Jokowi enggan tunjukkan ijazah
UgzW0KktMWbyZGhWOjl4AaABAg,Positif,claude-llm,0.65,kalau berbohong ingat karma rektor
UgyXIgB-j4ZmukpbH2l4AaABAg,Positif,claude-llm,0.7,doakan balasan bagi pembohong
UgzIr_6hwPZuJF8ZltN4AaABAg,Positif,claude-llm,0.85,makin yakin ada yang tak beres
UgzKnxpWHyLe4aCPTrR4AaABAg,Positif,claude-llm,0.8,tuntut tunjukkan bukti
Ugwr0bD4EU0OXSG1dz54AaABAg,Positif,claude-llm,0.7,tantang berani diundang media
Ugw7EFiIYF2aW4FlAkh4AaABAg,Positif,claude-llm,0.6,sindir kebohongan ruwet Jokowi
Ugzcyj1Bmjj3r06MPBN4AaABAg,Positif,claude-llm,0.6,"narasumber menyimpan sesuatu, curiga"
Ugylq2M3GfDs4WbpVfh4AaABAg,Positif,claude-llm,0.8,ugm bersandiwara tanpa bukti riil
Ugww7BZ5jAzqjDqzmGB4AaABAg,Positif,claude-llm,0.6,doa laknat penutup kebohongan
UgwGFRGVckQ85LzRGs14AaABAg,Netral,claude-llm,0.4,"ambigu, siapa berbohong"
Ugxt0dt2t0zYc_r8T1B4AaABAg,Positif,claude-llm,0.72,"tuding UGM tutupi, tak bisa dipercaya"
UgyEiIvmJSTBnwFA4wB4AaABAg,Positif,claude-llm,0.75,"ijazah tak muncul, sindir ugm"
UgxZzUzyvTtQdbZxGsh4AaABAg,Positif,claude-llm,0.85,tuduh bersatu dalam kebohongan
UgwqGEFkO-QytKIwx3F4AaABAg,Negatif,claude-llm,0.8,puji penjelasan mencerahkan
UgyomZPNKK8LKtF6WWh4AaABAg,Positif,claude-llm,0.6,salut termul berani bersuara tanpa data
Ugwfjo0K9Q2TLPjX5PJ4AaABAg,Positif,claude-llm,0.8,soroti foto berkacamata ijazah
Ugz9r5gqzKlPXnVqqqR4AaABAg,Positif,claude-llm,0.6,desak Dekan FK balas surat
Ugyxbiz2GZBX0sWDVG14AaABAg,Positif,claude-llm,0.8,sebut mulut pendusta
Ugya4rLFJnXp11DRL_d4AaABAg,Positif,claude-llm,0.75,kebohongan ditutupi kebohongan
UgxGbevddvqnOsJAsWx4AaABAg,Positif,claude-llm,0.85,tuntut UGM buktikan ke publik
UgxS5JZf8h5eEKiVeih4AaABAg,Positif,claude-llm,0.85,tuduh wawancara setting
UgyZjH7UsCx-djZjUN14AaABAg,Positif,claude-llm,0.8,"UGM tak punya malu, ragukan kebenaran"
Ugx97wIedelxalVcpop4AaABAg,Positif,claude-llm,0.65,"masih dirahasiakan, publik tak percaya"
UgwCnHGu2uIRD_mdk714AaABAg,Netral,claude-llm,0.55,"usul debat publik, tak jelas"
UgytSPOdI8ddN8QV27V4AaABAg,Positif,claude-llm,0.85,minta UGM jujur tunjukkan data
Ugz0mtWRa3Knv4s-MIl4AaABAg,Positif,claude-llm,0.75,tuduh pendusta akan kena balasan
UgyDPBttJc0WBFkGw0N4AaABAg,Positif,claude-llm,0.7,bohong di-backup pendidikan
Ugy4LD4tOkcMkiNYPaV4AaABAg,Positif,claude-llm,0.85,sebut mafia penipu jawaban ngambang
UgzcsOhnu4koR3Fx6tJ4AaABAg,Positif,claude-llm,0.9,tuduh kebohongan ditutup kebohongan
Ugww1pfPmJ2glTDGf9h4AaABAg,Positif,claude-llm,0.65,isyaratkan ada kebohongan ditutupi
Ugzdacz5h_oNPlOu9_14AaABAg,Positif,claude-llm,0.75,tak percaya lagi
Ugzhkz4VSqgVUPBSsfx4AaABAg,Positif,claude-llm,0.85,tuntut Jokowi tunjukkan ijazah
UgwyoB6Ap2aKbcXl0ix4AaABAg,Positif,claude-llm,0.85,percaya ijazah pasti palsu
Ugx5BHGDf-clRIr1kKp4AaABAg,Positif,claude-llm,0.7,menyebut pendukung Jokowi pembohong
UgzoXjblkqLttNCg2T54AaABAg,Positif,claude-llm,0.75,tuntut tunjukkan ijazah asli
UgxDMHYvgKKPP2E_tEF4AaABAg,Positif,claude-llm,0.65,kecam kebohongan berjamaah menutupi
Ugw7iSYMHvCy6vLcAp94AaABAg,Positif,claude-llm,0.7,"sesali pemimpin UGM, kuatkan tuduhan"
UgxL_RNtcAGAeovVXit4AaABAg,Netral,claude-llm,0.6,spam onomatope tak jelas
UgxVUgP1FAKUlX8SyYB4AaABAg,Positif,claude-llm,0.5,"ajakan jujur, condong tuduhan"
Ugzs-fb1NxrUCmLRrWV4AaABAg,Negatif,claude-llm,0.6,"anggap ijazah asli, bangga"
UgxPH68TBCI2jkmEaDx4AaABAg,Netral,claude-llm,0.65,bertanya prosedural skripsi
Ugyd8fZhGiA7G9P53zB4AaABAg,Positif,claude-llm,0.65,simpan jejak siapa asli palsu
UgxjuP7CkhcdiZ1vljl4AaABAg,Positif,claude-llm,0.85,makin yakin ijazah Jokowi palsu
UgzN38KprfaQq-yXBcF4AaABAg,Positif,claude-llm,0.7,tuding korup menutupi kebenaran
Ugyz25eIMnKBwItlAWR4AaABAg,Positif,claude-llm,0.7,minta ijazah ditunjukkan biar jelas
UgzyYyfQz2-rHMeFcGJ4AaABAg,Positif,claude-llm,0.75,dukung Roy Tifa lawan UGM
