comment_id,label,raw_text,bert,svm
UgySJWytNUPY_3BsiLB4AaABAg,Negatif,Ijasah jokowi Asli,ijasah jokowi asli,ijazah jokowi asli
UgyibvoV9qPnqU7fgUB4AaABAg,Negatif,Kalou saya yakin ijajah pa Jokowi asli 100 presen,kalou saya yakin ijajah pa jokowi asli 100 presen,kalou yakin ijajah pa jokowi asli presen
UgzvKV6DkfBvLYjO1Q14AaABAg,Negatif,"Digelar di gulung , 
Jangan mudah terprovokasi dg kelompok kelompok yg akan merusakdan korup thd bangsa ini ,
UGM lembaga kredibel ,Universitas besar sudah menjelaskan bahwa ijasah Jokowi asli.
Mabes Polri sudah menjelaskan, KPU juga sudah menjelaskan bahwa Ijasah Jokowi asli.
ROI CS,  itu adalah mantan .Mentri di era SBY , yg penuh korup, berjamaah ,
Pengacara  Tompel itu dari orang HTI yg kemarinn di bubarkan oleh Jokowi,  hati hati orang orang itu rekam jejaknya akan merusak Negeri ini ,dan membuat Negara khilafah, 
Yg satu dari Partai korup, 
Dia takut th 2929 masih berkuasa , 
Jangan sampai Negeri ini di pegang orang orang yg berbuat gaduh ,rakyat harus sadar ,lihat saja kita tunggu Penjara buat mereka","digelar di gulung , jangan mudah terprovokasi dg kelompok kelompok yg akan merusakdan korup thd bangsa ini , ugm lembaga kredibel ,universitas besar sudah menjelaskan bahwa ijasah jokowi asli. mabes polri sudah menjelaskan, kpu juga sudah menjelaskan bahwa ijasah jokowi asli. roi cs, itu adalah mantan .mentri di era sby , yg penuh korup, berjamaah , pengacara tompel itu dari orang hti yg kemarinn di bubarkan oleh jokowi, hati hati orang orang itu rekam jejaknya akan merusak negeri ini ,dan membuat negara khilafah, yg satu dari partai korup, dia takut th 2929 masih berkuasa , jangan sampai negeri ini di pegang orang orang yg berbuat gaduh ,rakyat harus sadar ,lihat saja kita tunggu penjara buat mereka",gelar gulung jangan mudah provokasi kelompok kelompok merusakdan korup thd bangsa ugm lembaga kredibel universitas jelas bahwa ijazah jokowi asli mabes polri jelas kpu jelas bahwa ijazah jokowi asli roy cs mantan mentri era sby penuh korup jamaah acara tompel orang hti kemarinn bubar jokowi hati hati orang orang rekam jejak rusak negeri buat negara khilafah partai korup takut th kuasa jangan sampai negeri pegang orang orang buat gaduh rakyat harus sadar lihat tunggu penjara
Ugwu8fwbJKhtqcJbzkF4AaABAg,Negatif,"Pak Jokowi Yang Terbaik, Reffi   Kau Siapa tidak ada BandingNya Sama Bapak Jokowi , Sehat Selalu Bapak Jokowi tetap populer dan Berjaya Sepanjang Masa ♥️","pak jokowi yang terbaik, reffi kau siapa tidak ada bandingnya sama bapak jokowi , sehat selalu bapak jokowi tetap populer dan berjaya sepanjang masa",pak jokowi baik reffi kau siapa tidak banding bapak jokowi sehat bapak jokowi tetap populer jaya panjang masa
UgxWqUi2gnWq5r0to314AaABAg,Negatif,"UGM BILANG ITU ASLI, YANG MENGELUARKAN IJAZAH UGM.
JADI APA YANG DIPERSOALKAN GAK JELAS","ugm bilang itu asli, yang mengeluarkan ijazah ugm. jadi apa yang dipersoalkan gak jelas",ugm bilang asli keluar ijazah ugm jadi soal tidak jelas
UgxzqBnL0BBfrQ3D_Px4AaABAg,Negatif,"Harus lanjut!! si panci tidak punya bukti kalau ijazah palsu, hanya fitnah saja! Harus sampai persidangan!","harus lanjut!! si panci tidak punya bukti kalau ijazah palsu, hanya fitnah saja! harus sampai persidangan!",harus lanjut panci tidak punya bukti kalau ijazah palsu hanya fitnah harus sampai sidang
Ugw0EclrpWMCjShOZ-N4AaABAg,Negatif,"Masya Alloh....

Kami rakyat Indonesia bersyukur, bangga dan sejuk menyaksikan pak Jokowi beserta keluarganya yang selalu menebarkan kebaikan meskipun terus-menerus difitnah-fitnah oleh para pendengki yang bengis-bengis 

Terima kasih pak Jokowi, pak Gibran dan Termul 
Semoga Alloh SWT selalu memberikan perlindungan, kesehatan dan umur panjang","masya alloh.... kami rakyat indonesia bersyukur, bangga dan sejuk menyaksikan pak jokowi beserta keluarganya yang selalu menebarkan kebaikan meskipun terus-menerus difitnah-fitnah oleh para pendengki yang bengis-bengis terima kasih pak jokowi, pak gibran dan termul semoga alloh swt selalu memberikan perlindungan, kesehatan dan umur panjang",masya alloh rakyat indonesia syukur bangga sejuk saksi pak jokowi serta keluarga tebar baik meski terus terus fitnah fitnah para dengki bengis bengis terima kasih pak jokowi pak gibran termul moga alloh swt beri lindung sehat umur panjang
Ugw55Izp8XKjS-2kQIx4AaABAg,Negatif,"Mulutnya mat tompel ibarat Comberan...Waspada ex HTI ex FPI aktifis Khilafah......saya Yakin Ijasah Bpk Jokowi Asli...logika aja Kalo Ijasah Bpk Jokowi palsu..otomatis Pihak UGM Pasti melaporkan ke Polri dan Bpk Jokowi pasti ditangkap dan diadili...ibarat polisi dapat laporan ada uang Palsu..pasti polisi gercep menelusuri menangkap pengedar dan bahkan diusut tuntas sampai pemuat / pencetak uang palsu..
Salam Sehat Salam NKRI
♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️",mulutnya mat tompel ibarat comberan...waspada ex hti ex fpi aktifis khilafah......saya yakin ijasah bpk jokowi asli...logika aja kalo ijasah bpk jokowi palsu..otomatis pihak ugm pasti melaporkan ke polri dan bpk jokowi pasti ditangkap dan diadili...ibarat polisi dapat laporan ada uang palsu..pasti polisi gercep menelusuri menangkap pengedar dan bahkan diusut tuntas sampai pemuat pencetak uang palsu.. salam sehat salam nkri,mulut mat tompel ibarat comberan waspada ex hti ex fpi aktif khilafah yakin ijazah bpk jokowi asli logika kalau ijazah bpk jokowi palsu otomatis pihak ugm pasti lapor polri bpk jokowi pasti tangkap adil ibarat polisi dapat lapor uang palsu pasti polisi gercep telusur tangkap edar bahkan usut tuntas sampai muat cetak uang palsu salam sehat salam nkri
Ugw7Vn4fPaCwsjGoSzB4AaABAg,Negatif,"Para pembenci akut Jokowi, bertobatlah sblm terlambat...
Kamu semua tlh melakukan fitnah keji, dan konsekwensi apa...???
Dosa besar kamu tlh menfitnah jutaan orang, apakah kamu tidak takut akn balasan dari Allah SWT....???","para pembenci akut jokowi, bertobatlah sblm terlambat... kamu semua tlh melakukan fitnah keji, dan konsekwensi apa...??? dosa besar kamu tlh menfitnah jutaan orang, apakah kamu tidak takut akn balasan dari allah swt....???",para benci akut jokowi tobat sblm lambat tlh laku fitnah keji konsekwensi dosa tlh menfitnah juta orang apakah tidak takut akn balas allah swt
UgwCrrH89wuNVsftmFd4AaABAg,Negatif,"Kami sbg anak bangsa yg cinta NKRI,.yakin bahwa si Roy Suryo dan kloni-kloninya hanya ""KEBENCIAN PRIBADI"" mengatas namakan anak bangsa, hati-hati ini ""FITNAH, ADU DOMBA"" TITIK😢","kami sbg anak bangsa yg cinta nkri,.yakin bahwa si roy suryo dan kloni-kloninya hanya ""kebencian pribadi"" mengatas namakan anak bangsa, hati-hati ini ""fitnah, adu domba"" titik",sbg anak bangsa cinta nkri yakin bahwa roy suryo klon klon hanya benci pribadi atas nama anak bangsa hati hati fitnah adu domba titik
UgwQjwE026_2c5liSkt4AaABAg,Negatif,"Ijazah pak jokowi asli,orang2 stres yg bilang palsu aluas orang2 pengacau dan perusak","ijazah pak jokowi asli,orang2 stres yg bilang palsu aluas orang2 pengacau dan perusak",ijazah pak jokowi asli orang stres bilang palsu aluas orang acau usak
UgwcT2SmnGXj4eFK0hN4AaABAg,Negatif,Rakyat udah cerdas bos ...meskipun kamu mengasih narasi macam apa saja ..jelas jokowi asli ...gk usah di goreng2 ..bos gk mask akal narasi anda ...rakyat udah cerdas,rakyat udah cerdas bos ...meskipun kamu mengasih narasi macam apa saja ..jelas jokowi asli ...gk usah di goreng2 ..bos gk mask akal narasi anda ...rakyat udah cerdas,rakyat cerdas bos meski asih narasi macam jelas jokowi asli tidak usah goreng bos tidak mask akal narasi rakyat cerdas
Ugwe3Qi1UM7L_NSkdUt4AaABAg,Negatif,"Instansi yang mengeluarkan resmi menyatakan ini Asli, yang punya juga mengatakan ini asli, nah yang ini parah tidak mau menerima keasliannya😅","instansi yang mengeluarkan resmi menyatakan ini asli, yang punya juga mengatakan ini asli, nah yang ini parah tidak mau menerima keasliannya",instansi keluar resmi nyata asli punya kata asli nah parah tidak mau terima asli
UgwmbzmtZBh2ueWEUGF4AaABAg,Negatif,Rakyat spo mneh... Rakyat Indonesia 100% bhkan 1000.000  % . Mnyatakan ijazah pk Jokowi ASLI. yaken ASLI,rakyat spo mneh... rakyat indonesia 100 bhkan 1000.000 . mnyatakan ijazah pk jokowi asli. yaken asli,rakyat spo mneh rakyat indonesia bhkan mnyatakan ijazah pk jokowi asli yaken asli
UgwpmYm_5CCtAb2nnY14AaABAg,Negatif,"Knp g dipenjarakan saja roy panci ini
Koq masih bikin fitnah ditv terus",knp g dipenjarakan saja roy panci ini koq masih bikin fitnah ditv terus,kenapa tidak penjara roy panci koq buat fitnah ditv terus
UgwrzENYJ8QiEn3Uxk14AaABAg,Negatif,Saya percaya ugm,saya percaya ugm,percaya ugm
UgwxjoTlAsPsUAe2Vd54AaABAg,Negatif,"Orang  orang  yg menuduh  ijazah jokowi palsu , dan tidak bisa membuktikan ,adalah HOAXX.. dah melawan negara. Hatus di tumpas.","orang orang yg menuduh ijazah jokowi palsu , dan tidak bisa membuktikan ,adalah hoaxx.. dah melawan negara. hatus di tumpas.",orang orang tuduh ijazah jokowi palsu tidak bukti hoaxx lawan negara hatus tumpas
UgwzYJ_tkKPcOy4iL_t4AaABAg,Negatif,pak Jokowi memang hebat karna seluruh pakar hukum saling berkomentar gara-gara ijasah yg bener bener asli malah jadi perdebatan ini baru ijasah loh ini bukti pakjokowi orang yg tulus membangun bangsa dan jujur adil itulah pak Jokowi mantap salam waras,pak jokowi memang hebat karna seluruh pakar hukum saling berkomentar gara-gara ijasah yg bener bener asli malah jadi perdebatan ini baru ijasah loh ini bukti pakjokowi orang yg tulus membangun bangsa dan jujur adil itulah pak jokowi mantap salam waras,pak jokowi memang hebat seluruh pakar hukum saling komentar gara gara ijazah benar benar asli malah jadi debat ijazah loh bukti pakjokowi orang tulus bangun bangsa jujur adil itu pak jokowi mantap salam waras
Ugx6ntzHPzs8yksUoiF4AaABAg,Negatif,Sangat setuju dg bp Jokowi siapa yg menuduh maka dia harus bisa membuktikan bahwa ijasah itu palsu,sangat setuju dg bp jokowi siapa yg menuduh maka dia harus bisa membuktikan bahwa ijasah itu palsu,setuju bp jokowi siapa tuduh harus bukti bahwa ijazah palsu
UgxDb8XmPS7KMaSSryV4AaABAg,Negatif,SUDAH GUAA DUGAAA😂😂😂 DARI AWAL EMANG GAK BAKAL PERCAYA MESKIPUN SUDAH DITUNJUKAN 😂 EMANG SEJAK AWAL SURYO DAN KROCONYA ITU EMANG CUMA PINGIN BIKIN GADUH AJA😂 PADAHAL DULU NANTANG BUAT DITUNJUKKAN SEKARANG SUDAH DITUNJUKAN MALAH NYARI ALASAN LAIN 😂,sudah guaa dugaaa dari awal emang gak bakal percaya meskipun sudah ditunjukan emang sejak awal suryo dan kroconya itu emang cuma pingin bikin gaduh aja padahal dulu nantang buat ditunjukkan sekarang sudah ditunjukan malah nyari alasan lain,guaa dugaaa awal memang tidak bakal percaya meski tunjuk memang awal suryo kroco memang hanya pingin buat gaduh padahal dulu nantang tunjuk sekarang tunjuk malah nyari alas
UgxKSwDLcDJSd43CQul4AaABAg,Negatif,Sy rakyat jelata sangat percaya PK Jokowi punya ijasah asli,sy rakyat jelata sangat percaya pk jokowi punya ijasah asli,rakyat jelata percaya pk jokowi punya ijazah asli
UgxPM1v6tCHPegmve7N4AaABAg,Negatif,Mudah- mudahan terungkap semuanya dana yang sudah mengalir ke Roy panci sebesar Rp 50 milyar rupiah untuk membuat dalih untuk menelusuri ijazah S-1 pak Jokowi Widodo semoga bisa membantu menyelidiki kasus ijazah S-1 pak Jokowi Widodo dan kaomenginginkan semoga terungkap siapa saja yang mencoba mencoba mencari pemalsuan Ijazah S-1 pak Jokowi semoga pak Prabowo Subianto dapat menyeret nama - nama yang sudah mempermalukan pak Jokowi Widodo masalah ijazah S-1 pak Jokowi Widodo begitu juga para elit politik dan pensiunan TNI yang memang ingin mencoba mencari kejelekan pak Jokowi Widodo tentang ijazah S-1 pak Jokowi tolonglah pak Prabowo Subianto usut sampai tuntas karena sudah membuat seluruh masyarakat Indonesia menjadi gaduh terus terang kami tidak percaya bahwa ijazah S-1 pak Jokowi Widodo itu palsu karena ijazah S-1 pak Jokowi sudah dikatakan oleh universitas ugm itu asli jadi Roy panci dan csnya kok bisa 1100 persen palsu jadi kami pada pak Prabowo Subianto tolong usut sampai tuntas pak Prabowo Subianto dan beri hukuman yang seberat- beratnya apalagi ada pihak yang ingin melengserkan kepemimpinan pak Prabowo Subianto dan pak Gibran Rakabuming Raka semoga pak Prabowo Subianto dengan semangat terus untuk mengusut tuntas kasus yang ingin membuat gaduh seluruh masyarakat Indonesia ini pak Prabowo Subianto 🙏 🙏 hadir dari Kalimantan Timur 🙏,mudah- mudahan terungkap semuanya dana yang sudah mengalir ke roy panci sebesar rp 50 milyar rupiah untuk membuat dalih untuk menelusuri ijazah s-1 pak jokowi widodo semoga bisa membantu menyelidiki kasus ijazah s-1 pak jokowi widodo dan kaomenginginkan semoga terungkap siapa saja yang mencoba mencoba mencari pemalsuan ijazah s-1 pak jokowi semoga pak prabowo subianto dapat menyeret nama - nama yang sudah mempermalukan pak jokowi widodo masalah ijazah s-1 pak jokowi widodo begitu juga para elit politik dan pensiunan tni yang memang ingin mencoba mencari kejelekan pak jokowi widodo tentang ijazah s-1 pak jokowi tolonglah pak prabowo subianto usut sampai tuntas karena sudah membuat seluruh masyarakat indonesia menjadi gaduh terus terang kami tidak percaya bahwa ijazah s-1 pak jokowi widodo itu palsu karena ijazah s-1 pak jokowi sudah dikatakan oleh universitas ugm itu asli jadi roy panci dan csnya kok bisa 1100 persen palsu jadi kami pada pak prabowo subianto tolong usut sampai tuntas pak prabowo subianto dan beri hukuman yang seberat- beratnya apalagi ada pihak yang ingin melengserkan kepemimpinan pak prabowo subianto dan pak gibran rakabuming raka semoga pak prabowo subianto dengan semangat terus untuk mengusut tuntas kasus yang ingin membuat gaduh seluruh masyarakat indonesia ini pak prabowo subianto hadir dari kalimantan timur,mudah mudah ungkap semua dana alir roy panci besar rp milyar rupiah buat dalih telusur ijazah pak jokowi widodo moga bantu selidik kasus ijazah pak jokowi widodo kaomenginginkan moga ungkap siapa coba coba cari palsu ijazah pak jokowi moga pak prabowo subianto dapat seret nama nama malu pak jokowi widodo masalah ijazah pak jokowi widodo begitu para elit politik pensiun tni memang ingin coba cari jelek pak jokowi widodo tentang ijazah pak jokowi tolong pak prabowo subianto usut sampai tuntas buat seluruh masyarakat indonesia jadi gaduh terus terang tidak percaya bahwa ijazah pak jokowi widodo palsu ijazah pak jokowi kata universitas ugm asli jadi roy panci csnya persen palsu jadi pak prabowo subianto tolong usut sampai tuntas pak prabowo subianto beri hukum berat berat apalagi pihak ingin lengser pimpin pak prabowo subianto pak gibran rakabuming raka moga pak prabowo subianto semangat terus usut tuntas kasus ingin buat gaduh seluruh masyarakat indonesia pak prabowo subianto hadir kalimantan timur
UgxQtwEWQYimsKmK4lt4AaABAg,Negatif,"Jlas lah , ASLI","jlas lah , asli",jlas asli
UgxSZ0k_Su8htpgNGnV4AaABAg,Negatif,"Jokowi dan Gibran dilindungi Allah SWT, tolak rekayasa kebencian, fitnah jahat amin","jokowi dan gibran dilindungi allah swt, tolak rekayasa kebencian, fitnah jahat amin",jokowi gibran lindung allah swt tolak rekayasa benci fitnah jahat amin
UgxZBoKwFwqv7Dh50uZ4AaABAg,Negatif,"Alhamdulillah sudah ditunjukkan, tinggal segera  dianalisa secara ilmiah dengan metode Carbon test dll oleh peneliti independent. Supaya RRT paham Ijazah P. jokowi itu Asli, spy RRT bisa segera masuk bui ! 

Begitu dilakukan test Carbon sebagai metode terbaik saat ini untuk usia kertas, usia tinta dll, jg Digital forensik & Analog Forensik , RRT dan seluruh rakyat Indonesia akan terbelalak matanya bahwa Ijazah P. Jokowi itu 1000% ASLI !! Rasain kau RRT !","alhamdulillah sudah ditunjukkan, tinggal segera dianalisa secara ilmiah dengan metode carbon test dll oleh peneliti independent. supaya rrt paham ijazah p. jokowi itu asli, spy rrt bisa segera masuk bui ! begitu dilakukan test carbon sebagai metode terbaik saat ini untuk usia kertas, usia tinta dll, jg digital forensik analog forensik , rrt dan seluruh rakyat indonesia akan terbelalak matanya bahwa ijazah p. jokowi itu 1000 asli !! rasain kau rrt !",alhamdulillah tunjuk tinggal segera dianalisa cara ilmiah metode carbon test dll teliti independent rrt paham ijazah jokowi asli spy rrt segera masuk bui begitu laku test carbon bagai metode baik usia kertas usia tinta dll digital forensik analog forensik rrt seluruh rakyat indonesia belalak mata bahwa ijazah jokowi asli rasain kau rrt
UgxjpMXGh9rQ_mQ8BPF4AaABAg,Negatif,"Kalo aku percaya bahwa ijazah Jokowi asli 100 persen, Roy cs  iri dengki jahat pembohong","kalo aku percaya bahwa ijazah jokowi asli 100 persen, roy cs iri dengki jahat pembohong",kalau aku percaya bahwa ijazah jokowi asli persen roy cs iri dengki jahat bohong
UgxsKGOP-d6wGMtCsQV4AaABAg,Negatif,"Menurut Hukum yg berlaku di Indonesia maka IJAZAH JOKOWI WAJIB DIANGGAP ASLI.... !!!!

yang menuduh palsu tanpa bukti memang wajib di proses dan  dikenai sanksi pidana penjara.. (tanpa harus memperlihatkan ijazah Jokowi)

Roy itu berulang hilang yakin ijazah Jokowi 99,9% palsu tanpa bukti hukum dan belummlihat ijazah apalagi menelitinya... Itu melanggar hukum.. fitnah namanya.","menurut hukum yg berlaku di indonesia maka ijazah jokowi wajib dianggap asli.... !!!! yang menuduh palsu tanpa bukti memang wajib di proses dan dikenai sanksi pidana penjara.. (tanpa harus memperlihatkan ijazah jokowi) roy itu berulang hilang yakin ijazah jokowi 99,9 palsu tanpa bukti hukum dan belummlihat ijazah apalagi menelitinya... itu melanggar hukum.. fitnah namanya.",turut hukum laku indonesia ijazah jokowi wajib anggap asli tuduh palsu tanpa bukti memang wajib proses kena sanksi pidana penjara tanpa harus lihat ijazah jokowi roy ulang hilang yakin ijazah jokowi palsu tanpa bukti hukum belummlihat ijazah apalagi teliti langgar hukum fitnah nama
Ugxu2HF1GcTsdUtTEdl4AaABAg,Negatif,"Kalau manusia punya hati membenci, ditunjukin ijasah asli masih ada aj kekurangannya, memang manusia bodoh yg GK percaya ijasah asli pak Jokowi,, salam sehat buat kepada bapak Jokowi.","kalau manusia punya hati membenci, ditunjukin ijasah asli masih ada aj kekurangannya, memang manusia bodoh yg gk percaya ijasah asli pak jokowi,, salam sehat buat kepada bapak jokowi.",kalau manusia punya hati benci ditunjukin ijazah asli aj kurang memang manusia bodoh tidak percaya ijazah asli pak jokowi salam sehat kepada bapak jokowi
Ugy2iKJNU4qctTEaPdR4AaABAg,Negatif,"Inilah bijaksana nya pak Jokowi 💪🇮🇩 kenapa dia ingin langsung tunjukkan kepada umum ijazahnya.

Itu Kerna mereka para tukang fitnah ini ingin mencetak ijazah pak Jokowi agar membuat laporan palsu dengan cara ingin melihat ijazah pak Jokowi yg asli..ini bahaya menurut saya..jika ijazah pak Jokowi yg asli di pamerkan di seluruh siaran itu akan menjadi bahaya untuk orang orang seperti Roy suryo dan rismon siap tifa ini",inilah bijaksana nya pak jokowi kenapa dia ingin langsung tunjukkan kepada umum ijazahnya. itu kerna mereka para tukang fitnah ini ingin mencetak ijazah pak jokowi agar membuat laporan palsu dengan cara ingin melihat ijazah pak jokowi yg asli..ini bahaya menurut saya..jika ijazah pak jokowi yg asli di pamerkan di seluruh siaran itu akan menjadi bahaya untuk orang orang seperti roy suryo dan rismon siap tifa ini,ini bijaksana pak jokowi kenapa ingin langsung tunjuk kepada umum ijazah kerna para tukang fitnah ingin cetak ijazah pak jokowi buat lapor palsu cara ingin lihat ijazah pak jokowi asli bahaya turut ijazah pak jokowi asli pamer seluruh siar jadi bahaya orang orang seperti roy suryo rismon siap tifa
UgyIYuLSxsroEtJP8rZ4AaABAg,Negatif,"Jangan bawa"" rakyat . Rakyat mana jelaskan..saya bilang ijasa PK Jokowi asliiiii👍👍👍💪💪💪💪💪💪💪💪💪🙏","jangan bawa"" rakyat . rakyat mana jelaskan..saya bilang ijasa pk jokowi asliiiii",jangan bawa rakyat rakyat mana jelas bilang ijasa pk jokowi asliiiii
UgyKAQ-drgQr1Q1dK5Z4AaABAg,Negatif,Pengacara Roy ini sudah gila . Sudah ada pernyataan rektor UGM bahwa Jokowi memang alumni UGM . Ijazahnya asli .,pengacara roy ini sudah gila . sudah ada pernyataan rektor ugm bahwa jokowi memang alumni ugm . ijazahnya asli .,acara roy gila nyata rektor ugm bahwa jokowi memang alumni ugm ijazah asli
